vancouver_island_coast,"Vancouver Island/Coast",445800,1.09999999999999,49590,117140,166740,,emp,jo,rep
mainland_southwest,Mainland/Southwest,1819070,1.7,347180,407510,754690,,0.11052174106844369,0.17450244309379095,0.14887898783003117
thompson_okanagan,Thompson-Okanagan,305620,1.2,37660,84200,121860,,0.7737636229913749,0.6070641163150995,0.6738484066537497
kootenay,Kootenay,79790,0.5,4280,22030,26320,,0.08393322784104838,0.125432010487427,0.10880648588801486
cariboo,Cariboo,86510,0.4,2840,20640,23490,,0.00953887985023067,0.032817900131092835,0.023500629481146815
northeast,Northeast,36320,0.6,2370,8820,11190,,0.006329537096882034,0.030747229174115123,0.020973776083287946
north_coast_nechako,"North Coast/Nechako",44180,1,4760,10940,15690,,0.005282043281552965,0.013139077583124777,0.009991339053724653
british_columbia,"British Columbia",2817300,1.4,448690,671280,1119970,,0.010608660768013551,0.01629722321534978,0.014009303820638053
