"All industries",36320,0.6,2370,8820,11190
"Other retail trade (excluding cars, online shopping and personal care)",4080,0.7,280,860,1140
"Truck transportation and support activities",1620,2.5,480,500,970
"Residential building construction",1390,2.3,380,380,760
"Wholesale trade",1300,1.7,250,390,640
"Personal, non-automotive repair and non-profit services",1670,1.3,240,390,630
