00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,30010,"Managers in health care",Management,3.39572700457951,high
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,40021,"School principals and administrators of elementary and secondary education",Management,3.45617321204424,high
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,11201,"Professional occupations in business management consulting","University Degree",4.45243206314052,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,70020,"Managers in transportation",Management,4.62823718480942,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,22232,"Occupational health and safety specialists","College Diploma or Apprenticeship, 2 or more years",4.79467693431476,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,60010,"Corporate sales managers",Management,4.81218909547156,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,40020,"Administrators - post-secondary education and vocational training",Management,4.88667897024916,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,10012,"Purchasing managers",Management,4.92117199822324,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,40019,"Other managers in public administration",Management,5.09639508834402,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,41405,"Education policy researchers, consultants and program officers","University Degree",6.10261702357576,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,10029,"Other business services managers",Management,6.10766307282923,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,10011,"Human resources managers",Management,6.31538664761518,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,50011,"Managers - publishing, motion pictures, broadcasting and performing arts",Management,6.63388676719168,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,50010,"Library, archive, museum and art gallery managers",Management,6.63388676719168,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,40042,"Commissioned officers of the Canadian Armed Forces",Management,6.63388676719168,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,10030,"Telecommunication carriers managers",Management,6.63388676719168,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,41403,"Social policy researchers, consultants and program officers","University Degree",6.64015656426542,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,40030,"Managers in social, community and correctional services",Management,6.64688119593242,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,52121,"Interior designers and interior decorators","College Diploma or Apprenticeship, 2 or more years",6.71811209306656,medium
00018,"Senior managers - public and private sector","00018 - Senior managers - public and private sector",Management,60031,"Accommodation service managers",Management,6.74236484051932,medium
10010,"Financial managers","10010 - Financial managers",Management,10021,"Banking, credit and other investment managers",Management,0,high
10010,"Financial managers","10010 - Financial managers",Management,10020,"Insurance, real estate and financial brokerage managers",Management,3.09634789444394,high
10010,"Financial managers","10010 - Financial managers",Management,11100,"Financial auditors and accountants","University Degree",3.88727846988468,high
10010,"Financial managers","10010 - Financial managers",Management,41402,"Business development officers and market researchers and analysts","University Degree",3.96909355913606,high
10010,"Financial managers","10010 - Financial managers",Management,11102,"Financial advisors","University Degree",4.02016365239385,high
10010,"Financial managers","10010 - Financial managers",Management,11109,"Other financial officers","University Degree",4.02016365239385,high
10010,"Financial managers","10010 - Financial managers",Management,13110,"Administrative assistants","College Diploma or Apprenticeship, less than 2 years",4.68110711513441,medium
10010,"Financial managers","10010 - Financial managers",Management,10011,"Human resources managers",Management,4.89894540224855,medium
10010,"Financial managers","10010 - Financial managers",Management,10022,"Advertising, marketing and public relations managers",Management,5.48859660406213,medium
10010,"Financial managers","10010 - Financial managers",Management,41101,"Lawyers and Quebec notaries","University Degree",5.5392167897989,medium
