00010,"Aboriginal band chief "
00010,"Aboriginal band council member "
00010,Alderman/Woman
00010,"Attorney General"
00010,"Cabinet Minister"
00010,"City Alderman"
00010,"City Councillor"
00010,"City Councilman/Woman"
00010,Councillor
00010,"First Nations band chief "
00010,"First Nations band council member "
00010,"First Nations government leader "
00010,"Government Leader"
00010,"Governor General"
00010,"Leader Of The Opposition"
00010,"Legislative Body Speaker"
00010,Legislator
00010,Lieutenant-Governor
00010,Mayor
00010,"Member of Legislative Assembly (MLA) "
00010,"Member of Parliament (MP) "
00010,"Member of the House of Assembly (MHA) "
00010,"Member of the National Assembly (MNA) "
00010,"Member of the Provincial Parliament (MPP) "
00010,"Metropolitan Council Chair"
00010,"Municipal Council Chairman/Woman"
00010,"Opposition Leader"
00010,"Orator - Government"
00010,Premier
00010,"Prime Minister"
00010,Reeve
00010,"Regional Municipality Chair"
00010,"School Board Trustee"
00010,Senator
00010,"Solicitor General"
00010,"Treasury Board president "
00018,Ambassador
00018,"Assistant Chief Statistician - Government Services"
00018,"Assistant Comptroller General - Government Services"
00018,"Assistant Deputy Minister"
00018,"Assistant Deputy Minister - Government Services"
00018,"Assistant Executive Director - Government Services"
00018,"Assistant General Director - Government Services"
00018,"Assistant Undersecretary Of State"
00018,"Band Manager - First Nations"
00018,"Chairman/Woman - Government Services"
00018,"Chairperson - Government Services"
00018,"Chief - Disaster Management"
00018,"Chief Administrative Officer - Government Services"
00018,"Chief Administrative Officer - Regional Municipality"
00018,"Chief Coroner"
00018,"Chief Electoral Officer"
00018,"Chief Medical Examiner"
00018,"Chief Privacy Officer - Government Services"
00018,"Chief Statistician - Government Services"
00018,"City Administrator"
00018,"City Hall Clerk"
00018,"City Manager"
00018,"City Superintendent"
00018,"Clerk Of The House Of Commons"
00018,"Clerk of the Privy Council "
00018,"Commissioner - Government Services"
00018,"Commissioner Of Inquiries"
00018,"Commissioner Of Inquiries - Government Services"
00018,"Comptroller General - Government Services"
00018,"Comptroller General Of Canada"
00018,Consul
00018,"Council Secretary - Government Services"
00018,"County Clerk"
00018,"Deputy Commissioner - Government Services"
00018,"Deputy Minister"
00018,"Deputy Minister - Government Services"
00018,"Deputy Municipal Clerk"
00018,"Deputy Provincial Secretary - Government Services"
00018,"Director General - Government Services"
00018,"Employment Insurance Appeals Board Chairperson"
00018,"Employment Insurance Commissioner"
00018,"Executive Administrator - Government Agency"
00018,"Executive Administrator - Government Department"
00018,"Executive Director - Emergency Preparedness"
00018,"Executive Director - Government Services"
00018,"Fire Marshal"
00018,"First Nations band manager "
00018,"General Manager - Government Services"
00018,"General Secretary - Government Services"
00018,"Government Agency Commissioner"
00018,"Government Agency President"
00018,"Government Agency Senior Administrator"
00018,"Grain Commissioner"
00018,"Health Commissioner"
00018,"High Commissioner"
00018,"Highway Commissioner"
00018,"Human Rights Commission chairperson "
00018,"Inspector General Of Financial Institutions"
00018,"Liquor Commissioner"
00018,"Local Government Manager"
00018,"Manager - First Nations"
00018,"Municipal Administrator"
00018,"Ombudsperson - Government Services"
00018,"Parole Board Chairman/Woman"
00018,"President - Government Services"
00018,"Railroad Commissioner"
00018,"Receiver General For Canada"
00018,"Regional Municipality General Director"
00018,"Secretary To The Council - Government Services"
00018,"Sergeant-At-Arms Of The House Of Commons"
00018,"Superintendent Of Financial Institutions"
00018,"Territorial Commissioner"
00018,"Town Clerk"
00018,"Township Clerk"
00018,"Trade Commissioner"
00018,"Undersecretary Of State"
00018,Vice-Consul
00018,"Vice-President - Government Services"
00018,"Advertising Agency President"
00018,"Assistant Executive Director - Financial, Communications And Other Business Services"
00018,"Bank Credit Vice-President"
00018,"Bank President"
00018,"Chairman/Woman - Financial, Communications And Other Business Services"
00018,"Chairperson - Financial, Communications And Other Business Services"
00018,"Chief Diversity Officer - Financial, Communications And Other Business Services"
00018,"Chief Executive Officer (Ceo) - Financial, Communications And Other Business Services"
00018,"Chief Executive Officer (Ceo) - Telephone Company"
00018,"Chief Financial Officer (Cfo) - Advertising Agency"
00018,"Chief Financial Officer (Cfo) - Financial, Communications And Other Business Services"
00018,"Chief Learning Officer - Financial, Communications And Other Business Services"
00018,"Chief Operating Officer - Engineering Firm"
00018,"Chief Operating Officer - Financial, Communications And Other Business Services"
00018,"Chief Privacy Officer - Financial, Communications And Other Business Services"
00018,"Chief Sustainability Officer - Financial, Communications And Other Business Services"
00018,"Compensation Vice-President - Financial, Communications And Other Business Services"
00018,"Computing Services Company President"
00018,"Controller - Financial, Communications And Other Business Services"
00018,"Corporate Banking Vice-President"
00018,"Corporate Controller - Financial, Communications And Other Business Services"
00018,"Corporate Controller - Mortgage Brokerage Firm"
00018,"Corporate Social Responsibility Vice-President - Financial, Communications And Other Business Services"
00018,"Credit Union Executive Director"
00018,"Credit Union General Manager"
00018,"Deputy Chief Executive Officer - Financial, Communications And Other Business Services"
00018,"Deputy Chief Executive Officer - Life Insurance Company"
00018,"Domestic Banking Operations Vice-President"
00018,"Employment Agency General Manager"
00018,"Engineering Firm President"
00018,"Engineering Research General Manager"
00018,"Engineering Vice-President - Financial, Communications And Other Business Services"
00018,"Executive Director - Financial, Communications And Other Business Services"
00018,"Executive Vice-President - Financial, Communications And Other Business Services"
00018,"Executive Vice-President - Real Estate Agency"
00018,"Finance And Administration Vice-President - Financial, Communications And Other Business Services"
00018,"Finance Vice-President - Financial, Communications And Other Business Services"
00018,"Finance Vice-President - Holding Company"
00018,"General Manager - Financial, Communications And Other Business Services"
00018,"General Manager - Real Estate Management Company"
00018,"Human Resources And Organizational Development Vice-President - Financial, Communications And Other Business Services"
00018,"Human Resources Vice-President - Bank"
00018,"Human Resources Vice-President - Financial, Communications And Other Business Services"
00018,"Information Systems Vice-President - Financial, Communications And Other Business Services"
00018,"Insurance Company General Manager"
00018,"International Banking Operations Vice-President"
00018,"Marketing Vice-President - Clerical Staff Services"
00018,"Marketing Vice-President - Financial, Communications And Other Business Services"
00018,"Operations Vice-President - Financial, Communications And Other Business Services"
00018,"Operations Vice-President - Satellite Communication Services"
00018,"Personal Banking Vice-President"
00018,"Personnel Vice-President - Bank"
00018,"Personnel Vice-President - Financial, Communications And Other Business Services"
00018,"Planning Vice-President - Financial, Communications And Other Business Services"
00018,"President - Financial, Communications And Other Business Services"
00018,"President And Chief Executive Officer"
00018,"President And Chief Executive Officer - Financial, Communications And Other Business Services"
00018,"Protective Services Executive Director"
00018,"Real Estate Management Company Executive Director"
00018,"Regional Vice-President - Financial, Communications And Other Business Services"
00018,"Senior Vice-President And Chief Economist"
00018,"Support Services Vice-President - Financial, Communications And Other Business Services"
00018,"Sustainability Vice-President - Financial, Communications And Other Business Services"
00018,"Telecommunications General Manager"
00018,"Treasury Vice-President - Banking Institution"
00018,"Trust Company General Manager"
00018,"Trust Company Regional Vice-President"
00018,"Vice-President - Financial, Communications And Other Business Services"
00018,"Academic Affairs Vice-President - Post-Secondary Education"
00018,"Academic Association President"
00018,"Academic Business Vice-President"
00018,"Alumni Association Executive Director"
00018,"Arts And Culture Association Chairperson"
00018,"Arts Association Executive Director"
00018,"Assistant Executive Director - Health, Education, Social And Community Services And Membership Organizations"
00018,"Association Executive Director"
00018,"Automobile Association Executive Director"
00018,"Business Association General Manager"
00018,"Business Association President"
00018,"Business General Manager"
00018,"Business School General Manager"
00018,"Chairman/Woman - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chairperson - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chancellor - Education"
00018,"Charitable Organization Director"
00018,"Charitable Organization Executive Director"
00018,"Chief Diversity Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Executive Officer (Ceo) - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Financial Officer (Cfo) - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Learning Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Nursing Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Operating Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Privacy Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Chief Sustainability Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"College Chancellor"
00018,"College President"
00018,"Community College President"
00018,"Compensation Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Corporate Controller - Health, Education, Social And Community Services And Membership Organizations"
00018,"Corporate Social Responsibility Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Crafts Guild Executive Director"
00018,"Cultural Association President"
00018,"Deputy Chief Executive Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Director General - Health, Education, Social And Community Services And Membership Organizations"
00018,"Educational Institution Chief Financial Officer (Cfo)"
00018,"Educators Association Chairperson"
00018,"Environmental Group Executive Director"
00018,"Ethnic Association President"
00018,"Executive Director - Health, Education, Social And Community Services And Membership Organizations"
00018,"Executive Director - Teacher's Federation"
00018,"Executive General Manager - Health, Education, Social And Community Services And Membership Organizations"
00018,"Executive Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Finance And Administration Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Finance Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"General Manager - Health, Education, Social And Community Services And Membership Organizations"
00018,"Health Care Association President"
00018,"Health Services Institution Executive Director"
00018,"Hockey Association General Manager"
00018,"Hospital Administrator"
00018,"Hospital Executive Director"
00018,"Human Resources And Organizational Development Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Human Resources Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Information Systems Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Labour Organization President"
00018,"Lobby Chief Executive Officer - Health, Education, Social And Community Services And Membership Organizations"
00018,"Marketing Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Medical Vice-President - Health Services"
00018,"Membership Organization General Manager"
00018,"Music Guild President"
00018,"Non-Governmental Organization (Ngo) Executive Director"
00018,"Nurse's Association Executive Director"
00018,"Nursing Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Operations Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Personnel Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Planning Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Political Organization General Manager"
00018,"Political Party President"
00018,"President - Health, Education, Social And Community Services And Membership Organizations"
00018,"President And General Manager - Health, Education, Social And Community Services And Membership Organizations"
00018,"Professional Association Executive Director"
00018,"Recreational Association Executive Director"
00018,"Rector - Education"
00018,"Regional Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Scientific Association Chairperson"
00018,"Social Services Institution Corporate Controller"
00018,"Sports Association President"
00018,"Support Services Vice-President - Health, Education, Social And Community Services And Membership Organizations"
00018,"Sustainability Vice-President - Health, Education, Social And Community Services And Membership Organizations"
