"All industries",44180,1,4760,10940,15690
"Other retail trade (excluding cars, online shopping and personal care)",3620,1.79999999999999,740,860,1600
"Ports and freight transportation arrangement",1380,4.2,760,410,1180
"Truck transportation and support activities",1450,3.2,570,450,1020
"Forestry, logging and support activities",1960,1.5,320,540,870
"Elementary and secondary schools",3080,-0.1,-50,840,790
