"Accommodation And Food Services",47770,6.5,6.4,6.3,0.8999999999999999,0.5,0.7000000000000001
"Agriculture And Fishing",1990,0.7,0.6,0.5,-1.4000000000000001,-1,-1.2
"Business, Building And Other Support Services",27040,3.2,3.1,3.1,0.1,0.8999999999999999,0.5
Construction,103120,9,9.2,9.4,1.4000000000000001,1.4000000000000001,1.4000000000000001
"Educational Services",61070,7.5,7.2,7.1,0.1,0.7000000000000001,0.4
"Finance, Insurance And Real Estate",66220,6.4,6.4,6.4,1.0999999999999999,1,1
"Forestry, Logging And Support Activities",2950,0.5,0.4,0.4,-1.6,0.8999999999999999,-0.3
"Health Care And Social Assistance",176010,14.4,14.9,15.5,1.7000000000000002,1.7000000000000002,1.7000000000000002
"Information, Culture And Recreation",39640,4.6,4.6,4.5,0.7000000000000001,0.8,0.8
Manufacturing,52050,6.1,5.9,5.8,0.4,0.5,0.4
"Mining And Oil And Gas Extraction",14950,1.1,1.1,1.2,2.1,1.0999999999999999,1.6
"Professional, Scientific And Technical Services",136020,10.4,11,11.4,2.1,1.7000000000000002,1.9
"Public Administration",39000,5.3,5,4.8,-0.4,0.4,-0
"Repair, Personal And Non-Profit Services",32800,3.8,3.8,3.7,0.8999999999999999,0.6,0.7000000000000001
"Retail Trade",94270,11.3,11.2,11.1,0.8,0.7000000000000001,0.7000000000000001
"Transportation And Warehousing",45620,5.3,5.2,5,0.7000000000000001,0.3,0.5
Utilities,6390,0.5,0.5,0.5,1.3,1.4000000000000001,1.4000000000000001
"Wholesale Trade",31470,3.3,3.3,3.2,0.8999999999999999,0.6,0.7000000000000001
