2025,1,6,"Sales and service",71000,148100,219200,0.67583593270289,0.32416329166099,0.208342403807262
2025,2,1,"Business, finance and administration",62700,133500,196200,0.680653223390683,0.319347541171279,0.186494206986426
2025,3,7,"Trades, transport and equipment operators and related",46500,121800,168300,0.723914704321881,0.276087672741172,0.159958036258974
2025,4,4,"Education, law and social, community and government services",36800,84000,120800,0.695401223795405,0.304598859010969,0.114795008651714
2025,5,2,"Natural and applied sciences and related",60600,58200,118900,0.489927773913498,0.510072310204325,0.113005283462145
2025,6,3,Health,58200,58100,116300,0.499744765236896,0.500254202990438,0.110556428981609
2025,7,5,"Art, culture, recreation and sport",17100,25500,42600,0.598058979650911,0.401944544692433,0.0404575726108529
2025,8,9,"Manufacturing and utilities",4700,28100,32800,0.856505466343572,0.143487816933896,0.031135227769522
2025,9,0,"Legislative and senior management",5900,16500,22400,0.737002588788835,0.262997411211165,0.0212455792638571
2025,10,8,"Natural resources, agriculture and related production",1200,13500,14700,0.915679392389535,0.0843192506101413,0.0140099575291268
2025,11,T,"All occupations",364700,687300,1052000,0.6533324037969,0.3466675962031,1
