#00010,All,"British Columbia"
#00010,All,Cariboo
#00010,All,Kootenay
#00010,All,Mainland/Southwest
#00010,All,"North Coast and Nechako"
#00010,All,Northeast
#00010,All,Thompson-Okanagan
#00010,All,"Vancouver Island/Coast"
#00010,"Management occupations","British Columbia"
#00010,"Management occupations",Cariboo
#00010,"Management occupations",Kootenay
#00010,"Management occupations",Mainland/Southwest
#00010,"Management occupations","North Coast and Nechako"
#00010,"Management occupations",Northeast
#00010,"Management occupations",Thompson-Okanagan
#00010,"Management occupations","Vancouver Island/Coast"
#00018,All,"British Columbia"
#00018,All,Cariboo
#00018,All,Kootenay
#00018,All,Mainland/Southwest
#00018,All,"North Coast and Nechako"
#00018,All,Northeast
#00018,All,Thompson-Okanagan
#00018,All,"Vancouver Island/Coast"
#00018,"Management occupations","British Columbia"
#00018,"Management occupations",Cariboo
#00018,"Management occupations",Kootenay
#00018,"Management occupations",Mainland/Southwest
#00018,"Management occupations","North Coast and Nechako"
#00018,"Management occupations",Northeast
#00018,"Management occupations",Thompson-Okanagan
#00018,"Management occupations","Vancouver Island/Coast"
#10010,All,"British Columbia"
#10010,All,Cariboo
#10010,All,Kootenay
#10010,All,Mainland/Southwest
#10010,All,"North Coast and Nechako"
#10010,All,Northeast
#10010,All,Thompson-Okanagan
#10010,All,"Vancouver Island/Coast"
#10010,"Management occupations","British Columbia"
#10010,"Management occupations",Cariboo
#10010,"Management occupations",Kootenay
#10010,"Management occupations",Mainland/Southwest
#10010,"Management occupations","North Coast and Nechako"
#10010,"Management occupations",Northeast
#10010,"Management occupations",Thompson-Okanagan
#10010,"Management occupations","Vancouver Island/Coast"
#10011,All,"British Columbia"
#10011,All,Cariboo
#10011,All,Kootenay
#10011,All,Mainland/Southwest
#10011,All,"North Coast and Nechako"
#10011,All,Northeast
#10011,All,Thompson-Okanagan
#10011,All,"Vancouver Island/Coast"
#10011,"Management occupations","British Columbia"
#10011,"Management occupations",Cariboo
#10011,"Management occupations",Kootenay
#10011,"Management occupations",Mainland/Southwest
#10011,"Management occupations","North Coast and Nechako"
#10011,"Management occupations",Northeast
#10011,"Management occupations",Thompson-Okanagan
#10011,"Management occupations","Vancouver Island/Coast"
#10012,All,"British Columbia"
#10012,All,Cariboo
#10012,All,Kootenay
#10012,All,Mainland/Southwest
#10012,All,"North Coast and Nechako"
#10012,All,Northeast
#10012,All,Thompson-Okanagan
#10012,All,"Vancouver Island/Coast"
#10012,"Management occupations","British Columbia"
#10012,"Management occupations",Cariboo
#10012,"Management occupations",Kootenay
#10012,"Management occupations",Mainland/Southwest
#10012,"Management occupations","North Coast and Nechako"
#10012,"Management occupations",Northeast
#10012,"Management occupations",Thompson-Okanagan
#10012,"Management occupations","Vancouver Island/Coast"
#10019,All,"British Columbia"
#10019,All,Cariboo
#10019,All,Kootenay
#10019,All,Mainland/Southwest
#10019,All,"North Coast and Nechako"
#10019,All,Northeast
#10019,All,Thompson-Okanagan
#10019,All,"Vancouver Island/Coast"
#10019,"Management occupations","British Columbia"
#10019,"Management occupations",Cariboo
#10019,"Management occupations",Kootenay
#10019,"Management occupations",Mainland/Southwest
#10019,"Management occupations","North Coast and Nechako"
#10019,"Management occupations",Northeast
#10019,"Management occupations",Thompson-Okanagan
#10019,"Management occupations","Vancouver Island/Coast"
#10020,All,"British Columbia"
#10020,All,Cariboo
#10020,All,Kootenay
#10020,All,Mainland/Southwest
#10020,All,"North Coast and Nechako"
#10020,All,Northeast
#10020,All,Thompson-Okanagan
#10020,All,"Vancouver Island/Coast"
#10020,"Management occupations","British Columbia"
#10020,"Management occupations",Cariboo
#10020,"Management occupations",Kootenay
#10020,"Management occupations",Mainland/Southwest
#10020,"Management occupations","North Coast and Nechako"
#10020,"Management occupations",Northeast
#10020,"Management occupations",Thompson-Okanagan
#10020,"Management occupations","Vancouver Island/Coast"
#10021,All,"British Columbia"
#10021,All,Cariboo
#10021,All,Kootenay
#10021,All,Mainland/Southwest
#10021,All,"North Coast and Nechako"
#10021,All,Northeast
#10021,All,Thompson-Okanagan
#10021,All,"Vancouver Island/Coast"
#10021,"Management occupations","British Columbia"
#10021,"Management occupations",Cariboo
#10021,"Management occupations",Kootenay
#10021,"Management occupations",Mainland/Southwest
#10021,"Management occupations","North Coast and Nechako"
#10021,"Management occupations",Northeast
#10021,"Management occupations",Thompson-Okanagan
#10021,"Management occupations","Vancouver Island/Coast"
#10022,All,"British Columbia"
#10022,All,Cariboo
#10022,All,Kootenay
#10022,All,Mainland/Southwest
#10022,All,"North Coast and Nechako"
#10022,All,Northeast
#10022,All,Thompson-Okanagan
#10022,All,"Vancouver Island/Coast"
#10022,"Management occupations","British Columbia"
#10022,"Management occupations",Cariboo
#10022,"Management occupations",Kootenay
#10022,"Management occupations",Mainland/Southwest
#10022,"Management occupations","North Coast and Nechako"
#10022,"Management occupations",Northeast
#10022,"Management occupations",Thompson-Okanagan
#10022,"Management occupations","Vancouver Island/Coast"
#10029,All,"British Columbia"
#10029,All,Cariboo
#10029,All,Kootenay
#10029,All,Mainland/Southwest
#10029,All,"North Coast and Nechako"
#10029,All,Northeast
#10029,All,Thompson-Okanagan
#10029,All,"Vancouver Island/Coast"
#10029,"Management occupations","British Columbia"
#10029,"Management occupations",Cariboo
#10029,"Management occupations",Kootenay
#10029,"Management occupations",Mainland/Southwest
#10029,"Management occupations","North Coast and Nechako"
#10029,"Management occupations",Northeast
#10029,"Management occupations",Thompson-Okanagan
#10029,"Management occupations","Vancouver Island/Coast"
#10030,All,"British Columbia"
#10030,All,Cariboo
#10030,All,Kootenay
#10030,All,Mainland/Southwest
#10030,All,"North Coast and Nechako"
#10030,All,Northeast
#10030,All,Thompson-Okanagan
#10030,All,"Vancouver Island/Coast"
#10030,"Management occupations","British Columbia"
#10030,"Management occupations",Cariboo
#10030,"Management occupations",Kootenay
#10030,"Management occupations",Mainland/Southwest
#10030,"Management occupations","North Coast and Nechako"
#10030,"Management occupations",Northeast
#10030,"Management occupations",Thompson-Okanagan
#10030,"Management occupations","Vancouver Island/Coast"
#10030,STEM,"British Columbia"
#10030,STEM,Cariboo
#10030,STEM,Kootenay
#10030,STEM,Mainland/Southwest
#10030,STEM,"North Coast and Nechako"
#10030,STEM,Northeast
#10030,STEM,Thompson-Okanagan
#10030,STEM,"Vancouver Island/Coast"
#11100,All,"British Columbia"
#11100,All,Cariboo
#11100,All,Kootenay
#11100,All,Mainland/Southwest
#11100,All,"North Coast and Nechako"
#11100,All,Northeast
#11100,All,Thompson-Okanagan
#11100,All,"Vancouver Island/Coast"
#11100,"Non-management occupations","British Columbia"
#11100,"Non-management occupations",Cariboo
#11100,"Non-management occupations",Kootenay
#11100,"Non-management occupations",Mainland/Southwest
#11100,"Non-management occupations","North Coast and Nechako"
#11100,"Non-management occupations",Northeast
#11100,"Non-management occupations",Thompson-Okanagan
#11100,"Non-management occupations","Vancouver Island/Coast"
#11101,All,"British Columbia"
#11101,All,Cariboo
#11101,All,Kootenay
#11101,All,Mainland/Southwest
#11101,All,"North Coast and Nechako"
#11101,All,Northeast
#11101,All,Thompson-Okanagan
