educational_services,"Educational services",217600,1.4,0.9,1.1,26400,53400,79800
elementary_and_secondary_schools,"Elementary and secondary schools",114100,1.5,0.9,1.2,14900,30500,45300
community_colleges,"Community colleges",16700,1.4,0.9,1.1,2100,4500,6600
universities,Universities,51100,0.5,1,0.7,3900,10500,14400
private_and_trades_education,"Private and trades education",35700,2.1,0.7,1.4,5500,7900,13500
health_care_social_assistance,"Health care and social assistance",380300,2.1,1.9,2,87200,90900,178100
ambulatory_health_care_services,"Ambulatory health care services",99100,1.5,1.8,1.7,18300,23400,41700
hospitals,Hospitals,149700,2.6,2.1,2.3,39900,35700,75600
nursing_and_residential_care_facilities,"Nursing and residential care facilities",51100,2.4,1.9,2.2,12500,12800,25300
social_assistance_excluding_child_care,"Social assistance excluding child care",55100,1.6,1.5,1.5,9400,13800,23200
child_day_care_services,"Child day care services",25300,2.6,2.3,2.4,7100,5200,12300
information_culture_recreation,"Information, culture and recreation",141400,1.6,1.1,1.3,20800,30400,51300
publishing_industries,"Publishing industries",12500,0.6,0.3,0.4,600,2600,3200
motion_picture_and_sound_recording_industries,"Motion picture and sound recording industries",29500,2,1.2,1.6,5300,6100,11500
telecommunications,Telecommunications,15200,0.4,0.5,0.5,700,3300,4000
broadcasting_data_processing_and_information,"Broadcasting, data processing and information",10000,1.6,1.2,1.4,1500,2400,3900
performing_arts_spectator_sports_and_related_industries,"Performing arts, spectator sports and related industries",23700,1.8,1.1,1.4,3800,5300,9100
entertainment_and_recreation,"Entertainment and recreation",50600,1.8,1.3,1.6,8900,10700,19600
accommodation_food_services,"Accommodation and food services",192000,1.4,1.5,1.4,30000,34600,64600
accommodation_services,"Accommodation services",32100,1.6,1.6,1.6,5700,8300,14000
food_services_and_drinking_places,"Food services and drinking places",159900,1.3,1.4,1.4,24300,26300,50600
other_private_services,"Repair, personal and non-profit services",111100,1.3,1.6,1.4,17400,25600,43000
automotive_repair_and_maintenance,"Automotive repair and maintenance",20200,0.3,0.1,0.2,400,4500,4800
personal_non_automotive_repair_and_non_profit_services,"Personal, non-automotive repair and non-profit services",90800,1.4,1.9,1.7,17000,21200,38200
public_administration,"Public administration",142400,0.9,1.4,1.1,17500,38900,56500
federal_government_public_administration,"Federal government public administration",45500,1,1.9,1.5,7400,12500,19800
provincial_and_territorial_public_administration,"Provincial and territorial public administration",45700,0,0.5,0.3,1100,12200,13400
local_and_indigenous_public_administration,"Local and Indigenous public administration",51200,1.4,1.7,1.6,9000,14200,23300
