"British Columbia",186604,6.4,18479,0.6,94688,3.2,246812,8.5,219958,7.5,184042,6.3,14771,0.5,409979,14.1,147625,5.1,178646,6.1,36854,1.3,300104,10.3,153771,5.3,119104,4.1,325521,11.2,156208,5.4,17896,0.6,102979,3.5
Cariboo,4917,5.9,562,0.7,1562,1.9,6688,8,7458,8.9,3271,3.9,2000,2.4,14771,17.7,2083,2.5,8646,10.3,1979,2.4,3375,4,4521,5.4,3542,4.2,10396,12.4,4125,4.9,542,0.6,3188,3.8
Kootenay,5708,6.6,562,0.6,2771,3.2,8250,9.5,5812,6.7,3396,3.9,1667,1.9,13146,15.2,2875,3.3,5938,6.9,7104,8.2,4333,5,3500,4,3729,4.3,12708,14.7,2396,2.8,938,1.1,1812,2.1
"Lower Mainland Southwest",116521,6.2,9208,0.5,62354,3.3,152875,8.1,144667,7.6,138333,7.3,2438,0.1,243312,12.9,104083,5.5,119000,6.3,7750,0.4,224667,11.9,85833,4.5,74062,3.9,206625,10.9,111583,5.9,10708,0.6,77104,4.1
"North Coast And Nechako",1750,3.8,667,1.5,1271,2.8,4875,10.7,3583,7.8,1042,2.3,1333,2.9,6104,13.3,1188,2.6,2729,6,2229,4.9,2333,5.1,2917,6.4,2104,4.6,4729,10.3,5542,12.1,479,1,875,1.9
Northeast,1938,5.5,167,0.5,958,2.7,4188,11.8,2062,5.8,1854,5.2,771,2.2,3917,11.1,771,2.2,792,2.2,5562,15.7,1188,3.4,1354,3.8,2250,6.3,3875,10.9,2062,5.8,604,1.7,1125,3.2
"Thompson Okanagan",21250,7,3208,1.1,10083,3.3,31104,10.3,20979,6.9,14083,4.7,2375,0.8,48000,15.9,13104,4.3,22146,7.3,8938,3,22792,7.5,10667,3.5,14979,5,35229,11.7,11208,3.7,3146,1,8917,3
"Vancouver Island And Coast",34521,7.4,4104,0.9,15688,3.3,38833,8.3,35396,7.5,22062,4.7,4188,0.9,80729,17.2,23521,5,19396,4.1,3292,0.7,41417,8.8,44979,9.6,18438,3.9,51958,11.1,19292,4.1,1479,0.3,9958,2.1
