"British Columbia",,,,,,,,,,,,,,,,,,,17.6,82.4,,,,,,,,,,,,,,,,
Cariboo,2.6,3,1.7,2.7,3.4,1.8,13.5,3.6,1.4,4.8,5.4,1.1,2.9,3,3.2,2.6,3,3.1,24.4,75.6,,,,,,,,,,,,,,,,
Kootenay,3.1,3,2.9,3.3,2.6,1.8,11.3,3.2,1.9,3.3,19.3,1.4,2.3,3.1,3.9,1.5,5.2,1.8,28.2,71.8,,,,,,,,,,,,,,,,
"Lower Mainland Southwest",62.4,49.8,65.9,61.9,65.8,75.2,16.5,59.3,70.5,66.6,21,74.9,55.8,62.2,63.5,71.4,59.8,74.9,16,84,,,,,,,,,,,,,,,,
"North Coast And Nechako",0.9,3.6,1.3,2,1.6,0.6,9,1.5,0.8,1.5,6,0.8,1.9,1.8,1.5,3.5,2.7,0.8,26.9,73.1,,,,,,,,,,,,,,,,
Northeast,1,0.9,1,1.7,0.9,1,5.2,1,0.5,0.4,15.1,0.4,0.9,1.9,1.2,1.3,3.4,1.1,34.1,65.9,,,,,,,,,,,,,,,,
"Thompson Okanagan",11.4,17.4,10.6,12.6,9.5,7.7,16.1,11.7,8.9,12.4,24.3,7.6,6.9,12.6,10.8,7.2,17.6,8.7,23.5,76.5,,,,,,,,,,,,,,,,
"Vancouver Island And Coast",18.5,22.2,16.6,15.7,16.1,12,28.3,19.7,15.9,10.9,8.9,13.8,29.3,15.5,16,12.3,8.3,9.7,15.2,84.8,,,,,,,,,,,,,,,,
