job_openings,"Job Openings",109101.6,109963.96,110090.77,112613.48,108634.09,107279.17,108677.88,114598.5,118488.46,120522.94,1119970.85
expansion_demand,"Expansion Demand",42819.79,43724.62,43875.79,46316.66,42157.82,40546.92,41593.87,46828.84,49872.71,50956.16,448693.18000000005
replacement_demand,"Replacement Demand",66281.81,66239.34,66214.98,66296.82,66476.28,66732.25,67084.01,67769.65,68615.75,69566.78,671277.67
job_openings_1,"Job Openings",109000,110000,110000,113000,109000,107000,109000,115000,118000,121000,1120000
expansion,Expansion,43000,44000,44000,46000,42000,41000,42000,47000,50000,51000,449000
replacement,Replacement,66000,66000,66000,66000,66000,67000,67000,68000,69000,70000,671000
job_openings_2,"Job Openings",1,1,1,1,1,1,1,1,1,1,1
expansion_1,Expansion,0.3924762789913255,0.39762682246074077,0.3985419486120408,0.4112887728893557,0.3880717369658088,0.37795706286691066,0.382726181261541,0.40863396990362,0.4209077407200667,0.4227922086865787,0.4006293378082117
replacement_1,Replacement,0.6075237210086745,0.6023731775392591,0.6014580513879592,0.5887112271106444,0.6119283550863269,0.6220429371330893,0.617273818738459,0.5913659428352028,0.5790922592799332,0.5772077913134213,0.5993706621917883
