2025,1,health_care_social_assistance,"Health care and social assistance",100800,98400,199200,51,49,19
2025,2,professional_scientific_technical_services,"Professional, scientific and technical services",88200,74000,162200,54,46,15
2025,3,retail_trade,"Retail trade",30400,70500,100900,30,70,10
2025,4,construction,Construction,28100,59200,87300,32,68,8
2025,5,finance_insurance_real_estate,"Finance, insurance and real estate",18600,46100,64700,29,71,6
2025,6,educational_services,"Educational services",6300,51800,58100,11,89,6
2025,7,public_administration,"Public administration",12400,40500,52900,23,77,5
2025,8,manufacturing,Manufacturing,5600,44500,50200,11,89,5
2025,9,transportation_warehousing,"Transportation and warehousing",11600,38600,50200,23,77,5
2025,10,accommodation_food_services,"Accommodation and food services",16300,33500,49800,33,67,5
2025,11,information_culture_recreation,"Information, culture and recreation",14500,29900,44300,33,67,4
2025,12,other_private_services,"Repair, personal and non-profit services",15400,27200,42600,36,64,4
2025,13,wholesale_trade,"Wholesale trade",7400,25500,32900,23,77,3
2025,14,business_building_other_support_services,"Business, building and other support services",8200,23900,32100,25,75,3
2025,15,mining_oil_gas_extraction,"Mining and oil and gas extraction",2600,10200,12800,21,79,1
2025,16,utilities,Utilities,1100,4900,6000,19,81,1
2025,17,forestry_logging_support_activities,"Forestry, logging and support activities",400,3700,4000,10,90,0
2025,18,agriculture_fishing,"Agriculture and fishing",-3200,5000,1900,-170,270,0
