"NAICS_ID","NAICSCode"
1,72
2,11
3,56
4,23
5,61
6,52
6,53
7,114
8,115
8,113
9,62
10,71
10,51
11,31
11,32
11,33
12,22
13,21
14,81
15,54
16,91
17,48
17,49
18,41
18,42
18,43
18,44
18,45
