"NOC2006","NOC2011","Title2006","Title2011",,,,,,,,,,,
0,0,"Management Occupations","Management Occupations",,,,,,,,,,,
1,1,"Business, Finance and Administrative Occupations","Business, Finance and administration occupations",,,,,,,,,,,
2,2,"Natural and Applied Sciences and Related Occupations","Natural and applied sciences and related occupations",,,,,,,,,,,
3,3,"Health Occupations","Health Occupations",,,,,,,,,,,
4,4,"Occupations in Social Science, Education, Government Service and Religion","Occupations in education, law and social, community and government services",,,,,,,,,,,
5,5,"Occupations in Art, Culture, Recreation and Sport","Occupations in art, culture, recreation and sport",,,,,,,,,,,
6,6,"Sales and Service Occupations","Sales and service occupations",,,,,,,,,,,
7,7,"Trades, Transport and Equipment Operators and Related Occupations","Trades, transport and equipment operators and related occupations",,,,,,,,,,,
8,8,"Occupations Unique to Primary Industry","Natural resources, agriculture and related production occupations",,,,,,,,,,,
9,9,"Occupations Unique to Processing, Manufacturing and Utilities","Occupations in manufacturing and utilities",,,,,,,,,,,
0,0,"Senior management occupations","Senior Management Occupations",,,,,,,,,,,
1,1,"Middle and other management occupations","Specialized Middle Management Occupations",,,,,,,,,,,
2,2,"Middle and other management occupations","Specialized Middle Management Occupations",,,,,,,,,,,
3,3,"Middle and other management occupations","Specialized Middle Management Occupations",,,,,,,,,,,
4,4,"Middle and other management occupations","Specialized Middle Management Occupations",,,,,,,,,,,
5,5,"Middle and other management occupations","Specialized Middle Management Occupations",,,,,,,,,,,
6,6,"Middle and other management occupations","Middle management occupations in retail and wholesale trade and customer services",,,,,,,,,,,
7,7,"Middle and other management occupations","Middle management occupations in trades, transportation, production and utilities",,,,,,,,,,,
8,8,"Middle and other management occupations","Middle management occupations in trades, transportation, production and utilities",,,,,,,,,,,
9,9,"Middle and other management occupations","Middle management occupations in trades, transportation, production and utilities",,,,,,,,,,,
11,11,"Professional occupations in business and finance","Professional occupations in business and finance",,,,,,,,,,,
12,12,"Skilled administrative and business occupations","Administrative and financial supervisors and administrative occupations",,,,,,,,,,,
12,13,"Skilled administrative and business occupations","Finance, insurance and related business administrative occupations",,,,,,,,,,,
14,14,"Clerical occupations","Office support occupations",,,,,,,,,,,
14,15,"Clerical occupations","Distribution, tracking and scheduling co-ordination occupations",,,,,,,,,,,
21,21,"Professional occupations in natural and applied sciences","Professional occupations in natural and applied sciences",,,,,,,,,,,
