"NOC2006","NOC2011","Title2006","Title2011",,,,,,,,,,,
22,22,"Technical occupations related to natural and applied sciences","Technical occupations related to natural and applied sciences",,,,,,,,,,,
31,30,"Professional occupations in health","Professional occupations in nursing",,,,,,,,,,,
31,31,"Professional occupations in health","Professional occupations in health (except nursing)",,,,,,,,,,,
32,32,"Technical and skilled occupations in health","Technical occupations in health",,,,,,,,,,,
34,34,"Assisting occupations in support of health services","Assisting occupations in support of health services",,,,,,,,,,,
41,40,"Professional occupations in social science, education, government services and religion","Professional occupations in education services",,,,,,,,,,,
41,41,"Professional occupations in social science, education, government services and religion","Professional occupations in law and social, community and government services",,,,,,,,,,,
42,42,"Paraprofessional occupations in law, social services, education and religion","Paraprofessional occupations in legal, social, community and education services",,,,,,,,,,,
62,43,"Skilled sales and service occupations","Occupations in front-line public protection services",,,,,,,,,,,
64,44,"Intermediate sales and service occupations","Care providers and educational, legal and public protection support occupations",,,,,,,,,,,
51,51,"Professional occupations in art and culture","Professional occupations in art and culture",,,,,,,,,,,
52,52,"Technical and skilled occupations in art, culture, recreation and sport","Technical occupations in art, culture, recreation and sport",,,,,,,,,,,
62,62,"Skilled sales and service occupations","Retail sales supervisors and specialized sales occupations",,,,,,,,,,,
62,63,"Skilled sales and service occupations","Service supervisors and specialized service occupations",,,,,,,,,,,
64,64,"Intermediate sales and service occupations","Sales representatives and salespersons - wholesale and retail trade",,,,,,,,,,,
64,65,"Intermediate sales and service occupations","Service representatives and other customer and personal services occupations",,,,,,,,,,,
66,66,"Elemental sales and service occupations","Sales support occupations",,,,,,,,,,,
74,67,"Intermediate occupations in transport, equipment operation, installation and maintenance","Service support and other service occupations, n.e.c.",,,,,,,,,,,
72,72,"Trades and skilled transport and equipment operators","Industrial, electrical and construction trades",,,,,,,,,,,
73,73,"Trades and skilled transport and equipment operators","Maintenance and equipment operation trades",,,,,,,,,,,
74,74,"Intermediate occupations in transport, equipment operation, installation and maintenance","Other installers, repairers and servicers and material handlers",,,,,,,,,,,
74,75,"Intermediate occupations in transport, equipment operation, installation and maintenance","Transport and heavy equipment operation and related maintenance occupations",,,,,,,,,,,
76,76,"Trades helpers, construction labourers and related occupations","Trades helpers, construction labourers and related occupations",,,,,,,,,,,
82,82,"Skilled occupations in primary industry","Supervisors and technical occupations in natural resources, agriculture and related production",,,,,,,,,,,
84,84,"Intermediate occupations in primary industry","Workers in natural resources, agriculture and related production",,,,,,,,,,,
86,86,"Labourers in primary industry","Harvesting, landscaping and natural resources labourers",,,,,,,,,,,
92,92,"Processing, manufacturing and utilities supervisors and skilled operators","Processing, manufacturing and utilities supervisors and central control operators",,,,,,,,,,,
94,94,"Processing and manufacturing machine operators and assemblers","Processing and manufacturing machine operators and related production workers",,,,,,,,,,,
95,95,"Processing and manufacturing machine operators and assemblers","Assemblers in manufacturing",,,,,,,,,,,
96,96,"Labourers in processing, manufacturing and utilities","Labourers in processing, manufacturing and utilities",,,,,,,,,,,
1,1,"Legislators and senior management","Legislators and senior management",,,,,,,,," ",,
11,11,"Administrative services managers","Administrative services managers",,,,,,,,," ",,
12,12,"Managers in financial and business services","Managers in financial and business services",,,,,,," ",,,,
13,13,"Managers in communication (except broadcasting)","Managers in communication (except broadcasting)",,,,,,," ",,,,
21,21,"Managers in engineering, architecture, science and information systems","Managers in engineering, architecture, science and information systems",,,," ",,,,,,,
31,31,"Managers in health, education, social and community services","Managers in health care",,,,,,,,,," ",
41,41,"Managers in public administration","Managers in public administration",,,,,,,,," ",,
51,51,"Managers in art, culture, recreation and sport","Managers in art, culture, recreation and sport",,,,,,," ",,,,
62,62,"Managers in retail trade","Retail and wholesale trade managers",,,,,,,," ",,,
63,63,"Managers in food service and accommodation","Managers in food service and accommodation",,,,,,," ",,,,
64,43,"Managers in protective services","Managers in public protection services",,,,,,,," ",,,
65,65,"Managers in other services","Managers in customer and personal services, n.e.c.",,,,,," ",,,,,
71,71,"Managers in construction and transportation","Managers in construction and facility operation and maintenance",,,,," ",,,,,,
72,73,"Facility operation and maintenance managers","Managers in transportation",,,,,,,,," ",,
81,81,"Managers in primary production (except agriculture)","Managers in natural resources production and fishing",,,,,," ",,,,,
91,91,"Managers in manufacturing and utilities","Managers in manufacturing and utilities",,,,,,,," ",,,
111,111,"Auditors, accountants and investment professionals","Auditors, accountants and investment professionals",,,,,," ",,,,,
112,112,"Human resources and business service professionals","Human resources and business service professionals",,,,,," ",,,,,
121,121,"Clerical supervisors","Administrative services supervisors",,,,,,,," ",,,
122,122,"Administrative and regulatory occupations","Administrative and regulatory occupations",,,,,,,," ",,,
123,131,"Finance and insurance administrative occupations","Finance, insurance and related business administrative occupations",,,," ",,,,,,,
124,124,"Secretaries, recorders and transcriptionists","Office administrative assistants - general, legal and medical",,,,," ",,,,,,
141,141,"Clerical occupations, general office skills","General office workers",,,,,,,,,," ",
142,142,"Office equipment operators","Office equipment operators",,,,,,,,," ",,
143,143,"Finance and insurance clerks","Financial, insurance and related administrative support workers",,,,," ",,,,,,
145,145,"Library, correspondence and related information clerks","Library, correspondence and other clerks",,,,,,,," ",,,
146,151,"Mail and message distribution occupations","Mail and message distribution occupations",,,,,,,," ",,,
147,152,"Recording, scheduling and distributing occupations","Supply chain logistics, tracking and scheduling co-ordination occupations",,,," ",,,,,,,
211,211,"Physical science professionals","Physical science professionals",,,,,,,,," ",,
212,212,"Life science professionals","Life science professionals",,,,,,,,," ",,
213,213,"Civil, mechanical, electrical and chemical engineers","Civil, mechanical, electrical and chemical engineers",,,,,," ",,,,,
214,214,"Other engineers","Other engineers",,,,,,,,,,," "
215,215,"Architects, urban planners and land surveyors","Architects, urban planners and land surveyors",,,,,,," ",,,,
216,216,"Mathematicians, statisticians and actuaries","Mathematicians, statisticians and actuaries",,,,,,," ",,,,
217,217,"Computer and information systems professionals","Computer and information systems professionals",,,,,,," ",,,,
221,221,"Technical occupations in physical sciences","Technical occupations in physical sciences",,,,,,," ",,,,
222,222,"Technical occupations in life sciences","Technical occupations in life sciences",,,,,,,," ",,,
223,223,"Technical occupations in civil, mechanical and industrial engineering","Technical occupations in civil, mechanical and industrial engineering",,,," ",,,,,,,
224,224,"Technical occupations in electronics and electrical engineering","Technical occupations in electronics and electrical engineering",,,,," ",,,,,,
225,225,"Technical occupations in architecture, drafting, surveying and mapping","Technical occupations in architecture, drafting, surveying, geomatics and meteorology",," ",,,,,,,,,
226,226,"Other technical inspectors and regulatory officers","Other technical inspectors and regulatory officers",,,,,," ",,,,,
227,227,"Transportation officers and controllers","Transportation officers and controllers",,,,,,,," ",,,
228,228,"Technical occupations in computer and information systems","Technical occupations in computer and information systems",,,,,," ",,,,,
311,311,"Physicians, dentists and veterinarians","Physicians, dentists and veterinarians",,,,,,,," ",,,
312,312,"Optometrists, chiropractors and other health diagnosing and treating professionals","Optometrists, chiropractors and other health diagnosing and treating professionals",," ",,,,,,,,,
313,313,"Pharmacists, dieticians and nutritionists","Pharmacists, dietitians and nutritionists",,,,,,,," ",,,
314,314,"Therapy and assessment professionals","Therapy and assessment professionals",,,,,,,," ",,,
315,301,"Nurse supervisors and registered nurses","Professional occupations in nursing",,,,,,,," ",,,
321,321,"Medical technologists and technicians (except dental health)","Medical technologists and technicians (except dental health)",,,,," ",,,,,,
322,322,"Technical occupations in dental health care","Technical occupations in dental health care",,,,,,," ",,,,
323,323,"Other technical occupations in health care (except dental)","Other technical occupations in health care",,,,,,," ",,,,
341,341,"Assisting occupations in support of health services","Assisting occupations in support of health services",,,,,," ",,,,,
411,411,"Judges, lawyers and Quebec notaries","Judges, lawyers and Quebec notaries",,,,,,,," ",,,
412,401,"University professors and assistants","University professors and post-secondary assistants",,,,,," ",,,,,
413,402,"College and other vocational instructors","College and other vocational instructors",,,,,,,," ",,,
414,403,"Secondary and elementary school teachers and educational counsellors","Secondary and elementary school teachers and educational counsellors",,,," ",,,,,,,
415,415,"Psychologists, social workers, counsellors, clergy and probation officers","Social and community service professionals",,,,,,," ",,,,
416,416,"Policy and program officers, researchers and consultants","Policy and program researchers, consultants and officers",,,,,," ",,,,,
421,421,"Paralegals, social services workers and occupations in education and religion, n.e.c.","Paraprofessional occupations in legal, social, community and education services",,," ",,,,,,,,
511,511,"Librarians, archivists, conservators and curators","Librarians, archivists, conservators and curators",,,,,,," ",,,,
512,512,"Writing, translating and public relations professionals","Writing, translating and related communications professionals",,,,," ",,,,,,
513,513,"Creating and performing artists","Creative and performing artists",,,,,,,,," ",,
521,521,"Technical occupations in libraries, archives, museums and art galleries","Technical occupations in libraries, public archives, museums and art galleries",,," ",,,,,,,,
522,522,"Photographers, graphic arts technicians and technical and co-ordinating occupations","Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",,,,,,,,,,,
523,523,"Announcers and other performers","Announcers and other performers, n.e.c.",,,,,,,,,,,
524,524,"Creative designers and craftspersons","Creative designers and craftspersons",,,,,,,,,,,
525,525,"Athletes, coaches, referees and related occupations","Athletes, coaches, referees and related occupations",,,,,,,,,,,
621,621,"Sales and service supervisors","Retail sales supervisors",,,,,,,,,,,
622,622,"Technical sales specialists, wholesale trade","Technical sales specialists in wholesale trade and retail and wholesale buyers",,,,,,,,,,,
623,623,"Insurance and real estate sales occupations and buyers","Insurance, real estate and financial sales occupations",,,,,,,,,,,
624,632,"Chefs and cooks","Chefs and cooks",,,,,,,,,,,
625,633,"Butchers and bakers","Butchers and bakers",,,,,,,,,,,
626,431,"Police officers and firefighters","Occupations in front-line public protection services",,,,,," ",,,,,
627,634,"Technical occupations in personal service","Specialized occupations in personal and customer services",,,,,,,,,,,
641,641,"Sales representatives, wholesale trade","Sales and account representatives - wholesale trade (non-technical)",,,,,,,,,,,
642,642,"Retail salespersons and sales clerks","Retail salespersons",,,,,,,,,,,
643,652,"Occupations in travel and accommodation","Occupations in travel and accommodation",,,,,,,,,,,
644,653,"Tour and recreational guides and casino occupations","Tourism and amusement services occupations",,,,,,,,,,,
645,651,"Occupations in food and beverage service","Occupations in food and beverage service",,,,,,,,,,,
647,441,"Childcare and home support workers","Home care providers and educational support occupations",,,,,," ",,,,,
648,656,"Other occupations in personal service","Other occupations in personal service",,,,,,,,,,,
661,661,"Cashiers","Cashiers",,,,,,,,,,,
662,662,"Other sales and related occupations","Other sales support and related occupations",,,,,,,,,,,
664,671,"Food counter attendants, kitchen helpers and related occupations","Food counter attendants, kitchen helpers and related support occupations",,,,,,,,,,,
665,654,"Security guards and related occupations","Security guards and related security service occupations",,,,,,,,,,,
666,673,"Cleaners","Cleaners",,,,,,,,,,,
667,672,"Other occupations in travel, accommodation, amusement and recreation","Support occupations in accommodation, travel and amusement services",,,,,,,,,,,
668,674,"Other elemental service occupations","Other service support and related occupations, n.e.c.",,,,,,,,,,,
721,720,"Contractors and supervisors, trades and related workers","Contractors and supervisors, industrial, electrical and construction trades and related workers",,,,,,,,,,,
722,730,"Supervisors, railway and motor transportation occupations","Contractors and supervisors, maintenance trades and heavy equipment and transport operators",,,,,,,,,,,
723,723,"Machinists and related occupations","Machining, metal forming, shaping and erecting trades",,,,,,,,,,,
724,724,"Electrical trades and telecommunication occupations","Electrical trades and electrical power line and telecommunications workers",,,,,,,,,,,
725,725,"Plumbers, pipefitters and gas fitters","Plumbers, pipefitters and gas fitters",,,,,,,,,,,
727,727,"Carpenters and cabinetmakers","Carpenters and cabinetmakers",,,,,,,,,,,
728,728,"Masonry and plastering trades","Masonry and plastering trades",,,,,,,,,,,
729,729,"Other construction trades","Other construction trades",,,,,,,,,,,
731,731,"Machinery and transportation equipment mechanics (except motor vehicle)","Machinery and transportation equipment mechanics (except motor vehicle)",,,,,,,,,,,
732,732,"Automotive service technicians","Automotive service technicians",,,,,,,,,,,
733,733,"Other mechanics","Other mechanics and related repairers",,,,,,,,,,,
735,924,"Stationary engineers and power station and system operators","Utilities equipment operators and controllers",,,,,,,,,,,
736,736,"Train crew operating occupations","Train crew operating occupations",,,,,,,,,,,
737,737,"Crane operators, drillers and blasters","Crane operators, drillers and blasters",,,,,,,,,,,
738,738,"Printing press operators, commercial divers and other trades and related occupations, n.e.c.","Printing press operators and other trades and related occupations, n.e.c.",,,,,,,,,,,
741,751,"Motor vehicle and transit drivers","Motor vehicle and transit drivers",,,,,,,,,,,
742,752,"Heavy equipment operators","Heavy equipment operators",,,,,,,,,,,
743,753,"Other transport equipment operators and related workers","Other transport equipment operators and related maintenance workers",,,,,,,,,,,
744,744,"Other installers, repairers and servicers","Other installers, repairers and servicers",,,,,,,,,,,
745,745,"Longshore workers and material handlers","Longshore workers and material handlers",,,,,,,,,,,
761,761,"Trades helpers and labourers","Trades helpers and labourers",,,,,,,,,,,
762,762,"Public works and other labourers, n.e.c.","Public works and other labourers, n.e.c.",,,,,,,,,,,
821,821,"Supervisors, logging and forestry","Supervisors, logging and forestry",,,,,,,,,,,
822,822,"Supervisors, mining, oil and gas","Contractors and supervisors, mining, oil and gas",,,,,,,,,,,
823,823,"Underground miners, oil and gas drillers and related workers","Underground miners, oil and gas drillers and related occupations",,,,,,,,,,,
824,824,"Logging machinery operators","Logging machinery operators",,,,,,,,,,,
825,825,"Contractors, operators and supervisors in agriculture, horticulture and aquaculture","Contractors and supervisors, agriculture, horticulture and related operations and services",,,,,,,,,,,
826,826,"Fishing vessel masters and skippers and fishermen/women","Fishing vessel masters and fishermen/women",,,,,,,,,,,
841,841,"Mine service workers and operators in oil and gas drilling","Mine service workers and operators in oil and gas drilling",,,,,,,,,,,
842,842,"Logging and forestry workers","Logging and forestry workers",,,,,,,,,,,
843,843,"Agriculture and horticulture workers","Agriculture and horticulture workers",,,,,,,,,,,
844,844,"Other fishing and trapping occupations","Other workers in fishing and trapping and hunting occupations",,,,,,,,,,,
861,861,"Primary production labourers","Harvesting, landscaping and natural resources labourers",,,,,,,,,,,
921,921,"Supervisors, processing occupations","Supervisors, processing and manufacturing occupations",,,,,,,,,,,
922,922,"Supervisors, assembly and fabrication","Supervisors, assembly and fabrication",,,,,,,,,,,
923,923,"Central control and process operators in manufacturing and processing","Central control and process operators in processing and manufacturing",,,,,,,,,,,
941,941,"Machine operators and related workers in metal and mineral products processing","Machine operators and related workers in mineral and metal products processing and manufacturing",,,,,,,,,,,
942,942,"Machine operators and related workers in chemical, plastic and rubber processing","Machine operators and related workers in chemical, plastic and rubber processing",,,,,,,,,,,
943,943,"Machine operators and related workers in pulp and paper production and wood processing","Machine operators and related workers in pulp and paper production and wood processing and manufacturing",,"   ",,,,,,,,,
944,944,"Machine operators and related workers in textile processing","Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","   ",,,,,,,,,,
946,946,"Machine operators and related workers in food, beverage and tobacco processing","Machine operators and related workers in food, beverage and associated products processing ",,,,,,,,,,,
947,947,"Printing machine operators and related occupations","Printing equipment operators and related occupations",,,,," ",,,,,,
948,952,"Mechanical, electrical and electronics assemblers","Mechanical, electrical and electronics assemblers",,"  ",,,,,,,,,
949,953,"Other assembly and related occupations","Other assembly and related occupations",,,"  ",,,,,,,,
961,961,"Labourers in processing, manufacturing and utilities","Labourers in processing, manufacturing and utilities","  ",,,,,,,,,,
31,42,"Managers in health, education, social and community services","Managers in education and social and community services",,,,,," ",,,,,
61,60,"Sales, Marketing and Advertising Managers","Corporate sales managers",,,,,,,,,," ",
825,82,"Contractors, operators and supervisors in agriculture, horticulture and aquaculture","Managers in agriculture, horticulture and aquaculture",,,,,," ",,,,,
121,125,"Clerical Supervisors","Court reporters, transcriptionists, records management technicians and statistical officers"," ",,,,,,,,,,
646,442,"Other Occupations in Protective Service","Legal and public protection support occupations",,,,,,," ",,,,
644,631,"Tour and recreational guides and casino occupations","Service supervisors",,,,,,,,,,,
143,655,"Finance and Insurance Clerks","Customer and information services representatives",,,,,,,,,,,
11,11,"Legislators","Legislators",,,,,,,,,,,
12,12,"Senior Government Managers and Officials","Senior government managers and officials",,,,,,,,,,,
13,13,"Senior Managers - Financial, Communications and Other Business Services","Senior managers - financial, communications and other business services",,,,,,,,,,,
14,14,"Senior managers - health, education, social and community services and membership orgs.","Senior managers - health, education, social and community services and membership organizations",,,,,,,,,,,
15,15,"Senior managers - trade, broadcasting and other services, n.e.c.","Senior managers - trade, broadcasting and other services, n.e.c.",,,,,,,,,,,
16,16,"Senior managers - goods production, utilities, transportation and construction","Senior managers - construction, transportation, production and utilities",,,,,,,,,,,
111,111,"Financial Managers","Financial managers",,,,,,,,,,,
112,112,"Human Resources Managers","Human resources managers",,,,,,,,,,,
113,113,"Purchasing Managers","Purchasing managers",,,,,,,,,,,
114,114,"Other Administrative Services Managers","Other administrative services managers",,,,,,,,,,,
121,121,"Insurance, real estate and financial brokerage managers","Insurance, real estate and financial brokerage managers",,,,,,,,,,,
122,122,"Banking, Credit and Other Investment Manager","Banking, credit and other investment managers",,,,,,,,,,,
123,125,"Other Business Services Managers","Other business services managers",,,,,,,,,,,
131,131,"Telecommunication Carriers Managers","Telecommunication carriers managers",,,,,,,,,,,
132,132,"Postal and Courier Services Managers","Postal and courier services managers",,,,,,,,,,,
211,211,"Engineering Managers","Engineering managers",,,,,,,,,,,
212,212,"Architecture and Science Managers","Architecture and science managers",,,,,,,,,,,
213,213,"Computer and Information Systems Managers","Computer and information systems managers",,,,,,,,,,,
311,311,"Managers in Health Care","Managers in health care",,,,,,,,,,,
312,421,"Administrators, post-secondary education and vocational training","Administrators - post-secondary education and vocational training",,,,,,,,,,,
313,422,"School principals and administrators of elementary and secondary education","School principals and administrators of elementary and secondary education",,,,,,,,,,,
314,423,"Managers in Social, Community and Correction Services","Managers in social, community and correctional services",,,,,,,,,,,
411,411,"Government managers, health and social policy development and program administration","Government managers - health and social policy development and program administration",,,,,,,,,,,
412,412,"Government managers, economic analysis, policy development and program administration","Government managers - economic analysis, policy development and program administration",,,,,,,,,,,
413,413,"Government managers, education policy development and program administration","Government managers - education policy development and program administration",,,,,,,,,,,
414,414,"Other Managers in Public Administration","Other managers in public administration",,,,,,,,,,,
511,511,"Library, Archive, Museum and Art Gallery Managers","Library, archive, museum and art gallery managers",,,,,,,,,,,
512,512,"Managers, publishing, motion pictures, broadcasting and performing arts","Managers - publishing, motion pictures, broadcasting and performing arts",,,,,,,,,,,
513,513,"Recreation, Sports and Fitness Program and S","Recreation, sports and fitness program and service directors",,,,,,,,,,,
611,124,"Sales, Marketing and Advertising Managers","Advertising, marketing and public relations managers",,,,,,,,,,,
611,601,"Sales, Marketing and Advertising Managers","Corporate sales managers",,,,,,,,,,,
621,621,"Retail Trade Managers","Retail and wholesale trade managers",,,,,,,,,,,
631,631,"Restaurant and Food Service Managers","Restaurant and food service managers",,,,,,,,,,,
632,632,"Accommodation Service Managers","Accommodation service managers",,,,,,,,,,,
641,431,"Commissioned Police Officers","Commissioned police officers",,,,,,,,,,,
642,432,"Fire Chiefs and Senior Firefighting Officers","Fire chiefs and senior firefighting officers",,,,,,,,,,,
643,433,"Commissioned Officers, Armed Forces","Commissioned officers of the Canadian Forces",,,,,,,,,,,
651,651,"Other Services Managers","Managers in customer and personal services, n.e.c.",,,,,,,,,,,
711,711,"Construction Managers","Construction managers",,,,,,,,,,,
712,712,"Residential Home Builders and Renovators","Home building and renovation managers",,,,,,,,,,,
713,731,"Transportation Managers","Managers in transportation",,,,,,,,,,,
721,714,"Facility Operation and Maintenance Managers","Facility operation and maintenance managers",,,,,,,,,,,
811,811,"Primary Production Managers (Except Agriculture)","Managers in natural resources production and fishing",,,,,,,,,,,
911,911,"Manufacturing Managers","Manufacturing managers",,,,,,,,,,,
912,912,"Utilities Managers","Utilities managers",,,,,,,,,,,
1111,1111,"Financial Auditors and Accountants","Financial auditors and accountants",,,,,,,,,,,
1112,1112,"Financial and Investment Analysts","Financial and investment analysts",,,,,,,,,,,
1113,1113,"Securities Agents, Investment Dealers and Brokers","Securities agents, investment dealers and brokers",,,,,,,,,,,
1114,1114,"Other Financial Officers","Other financial officers",,,,,,,,,,,
1121,1121,"Specialists in Human Resources","Human resources professionals",,,,,,,,,,,
1122,1122,"Professional Occupations in Business Service","Professional occupations in business management consulting",,,,,,,,,,,
1211,1211,"Supervisors, general office and administrative support clerk","Supervisors, general office and administrative support workers",,,,,,,,,,,
1211,1252,"Supervisors, general office and administrative support clerk","Health information management occupations",,,,,,,,,,,
1212,1212,"Supervisors, Finance and Insurance Clerks","Supervisors, finance and insurance office workers",,,,,,,,,,,
1212,6314,"Supervisors, Finance and Insurance Clerks","Customer and information services supervisors",,,,,,,,,,,
1213,1213,"Supervisors, library, correspondence and related information clerks","Supervisors, library, correspondence and related information workers",,,,,,,,,,,
1214,1214,"Supervisors, mail and message distribution occupations","Supervisors, mail and message distribution occupations",,,,,,,,,,,
1215,1215,"Supervisors, recording, distributing and scheduling occupations","Supervisors, supply chain, tracking and scheduling co-ordination occupations",,,,,,,,,,,
1221,1221,"Administrative Officers","Administrative officers",,,,,,,,,,,
1222,1222,"Executive Assistants","Executive assistants",,,,,,,,,,,
1223,1223,"Personnel and Recruitment Officers","Human resources and recruitment officers",,,,,,,,,,,
1224,1224,"Property Administrators","Property administrators",,,,,,,,,,,
1225,1225,"Purchasing Agents and Officers","Purchasing agents and officers",,,,,,,,,,,
1226,1226,"Conference and Event Planners","Conference and event planners",,,,,,,,,,,
1227,1227,"Court Officers and Justices of the Peace","Court officers and justices of the peace",,,,,,,,,,,
1228,1228,"Immigration, employment insurance and revenue officers","Employment insurance, immigration, border services and revenue officers",,,,,,,,,,,
1231,1311,"Bookkeepers","Accounting technicians and bookkeepers",,,,,,,,,,,
1232,6235,"Loan Officers","Financial sales representatives",,,,,,,,,,,
1233,1312,"Insurance Adjusters and Claims Examiners","Insurance adjusters and claims examiners",,,,,,,,,,,
1234,1313,"Insurance Underwriters","Insurance underwriters",,,,,,,,,,,
1235,1314,"Assessors, Valuators and Appraisers","Assessors, valuators and appraisers",,,,,,,,,,,
1236,1315,"Customs, Ship and Other Brokers","Customs, ship and other brokers",,,,,,,,,,,
1241,1241,"Secretaries (Except Legal and Medical)","Administrative assistants",,,,,,,,,,,
1242,1242,"Legal Secretaries","Legal administrative assistants",,,,,,,,,,,
1243,1243,"Medical Secretaries","Medical administrative assistants",,,,,,,,,,,
1244,1251,"Court Recorders and Medical Transcriptionist","Court reporters, medical transcriptionists and related occupations",,,,,,,,,,,
1411,1411,"General Office Clerks","General office support workers",,,,,,,,,,,
1413,1253,"Records Management and Filing Clerks","Records management technicians",,,,,,,,,,,
1414,1414,"Receptionists and Switchboard Operators","Receptionists",,,,,,,,,,,
1422,1422,"Data Entry Clerks","Data entry clerks",,,,,,,,,,,
1423,1423,"Desktop Publishing Operators and Related Occupations","Desktop publishing operators and related occupations",,,,,,,,,,,
1431,1431,"Accounting and Related Clerks","Accounting and related clerks",,,,,,,,,,,
1432,1432,"Payroll Clerks","Payroll clerks",,,,,,,,,,,
1433,6551,"Customer Service Representatives - Financial Services","Customer services representatives - financial institutions",,,,,,,,,,,
1434,1434,"Banking, Insurance and Other Financial Clerks","Banking, insurance and other financial clerks",,,,,,,,,,,
1435,1435,"Collectors","Collectors",,,,,,,,,,,
1442,1415,"Personnel Clerks","Personnel clerks",,,,,,,,,,,
1443,1416,"Court Clerks","Court clerks",,,,,,,,,,,
1451,1451,"Library Clerks","Library assistants and clerks",,,,,,,,,,,
1452,1452,"Correspondence, Publication and Related Clerks","Correspondence, publication and regulatory clerks",,,,,,,,,,,
1453,6552,"Customer Service, Information and Related Clerks","Other customer and information services representatives",,,,,,,,,,,
1454,1454,"Survey Interviewers and Statistical Clerks","Survey interviewers and statistical clerks",,,,,,,,,,,
1461,1511,"Mail, Postal and Related Clerks","Mail, postal and related workers",,,,,,,,,,,
1462,1512,"Letter Carriers","Letter carriers",,,,,,,,,,,
1463,1513,"Couriers, Messengers and Door-to-Door Distributors","Couriers, messengers and door-to-door distributors",,,,,,,,,,,
1471,1521,"Shippers and Receivers","Shippers and receivers",,,,,,,,,,,
1472,1522,"Storekeepers and Parts Clerks","Storekeepers and partspersons",,,,,,,,,,,
1473,1523,"Production Clerks","Production logistics co-ordinators",,,,,,,,,,,
1474,1524,"Purchasing and Inventory Clerks","Purchasing and inventory control workers",,,,,,,,,,,
1475,1525,"Dispatchers and Radio Operators","Dispatchers",,,,,,,,,,,
1476,1526,"Transportation Route and Crew Schedulers","Transportation route and crew schedulers",,,,,,,,,,,
2111,2111,"Physicists and Astronomers","Physicists and astronomers",,,,,,,,,,,
2112,2112,"Chemists","Chemists",,,,,,,,,,,
2113,2113,"Geologists, Geochemists and Geophysicists","Geoscientists and oceanographers",,,,,,,,,,,
2114,2114,"Meteorologists","Meteorologists and climatologists",,,,,,,,,,,
2115,2115,"Other Professional Occupations in Physical Science","Other professional occupations in physical sciences",,,,,,,,,,,
2121,2121,"Biologists and Related Scientists","Biologists and related scientists",,,,,,,,,,,
2122,2122,"Forestry Professionals","Forestry professionals",,,,,,,,,,,
2123,2123,"Agricultural Representatives, Consultants an","Agricultural representatives, consultants and specialists",,,,,,,,,,,
2131,2131,"Civil Engineers","Civil engineers",,,,,,,,,,,
2132,2132,"Mechanical Engineers","Mechanical engineers",,,,,,,,,,,
2133,2133,"Electrical and Electronics Engineers","Electrical and electronics engineers",,,,,,,,,,,
2134,2134,"Chemical Engineers","Chemical engineers",,,,,,,,,,,
2141,2141,"Industrial and Manufacturing Engineers","Industrial and manufacturing engineers",,,,,,,,,,,
