Level,Code - NOC 2021 V1.0,Class title,Element Type Label English,Element Description English
5,00010,Legislators,Illustrative example(s),cabinet minister
5,00010,Legislators,Illustrative example(s),city councillor
5,00010,Legislators,Illustrative example(s),First Nations band chief
5,00010,Legislators,Illustrative example(s),governor general
5,00010,Legislators,Illustrative example(s),lieutenant-governor
5,00010,Legislators,Illustrative example(s),mayor
5,00010,Legislators,Illustrative example(s),Member of Legislative Assembly (MLA)
5,00010,Legislators,Illustrative example(s),Member of Parliament (MP)
5,00010,Legislators,Illustrative example(s),Member of the National Assembly (MNA)
5,00010,Legislators,Illustrative example(s),Member of the Provincial Parliament (MPP)
5,00010,Legislators,Illustrative example(s),premier
5,00010,Legislators,Illustrative example(s),prime minister
5,00010,Legislators,Illustrative example(s),school board trustee
5,00010,Legislators,Illustrative example(s),senator
5,00010,Legislators,All examples,Aboriginal band chief
5,00010,Legislators,All examples,Aboriginal band council member
5,00010,Legislators,All examples,alderman/woman
5,00010,Legislators,All examples,attorney general
5,00010,Legislators,All examples,cabinet minister
5,00010,Legislators,All examples,city alderman
5,00010,Legislators,All examples,city councillor
5,00010,Legislators,All examples,city councilman/woman
5,00010,Legislators,All examples,councillor
5,00010,Legislators,All examples,First Nations band chief
5,00010,Legislators,All examples,First Nations band council member
5,00010,Legislators,All examples,First Nations government leader
5,00010,Legislators,All examples,government leader
5,00010,Legislators,All examples,governor general
5,00010,Legislators,All examples,leader of the opposition
5,00010,Legislators,All examples,legislative body speaker
5,00010,Legislators,All examples,legislator
5,00010,Legislators,All examples,lieutenant-governor
5,00010,Legislators,All examples,mayor
5,00010,Legislators,All examples,Member of Legislative Assembly (MLA)
5,00010,Legislators,All examples,Member of Parliament (MP)
5,00010,Legislators,All examples,Member of the House of Assembly (MHA)
5,00010,Legislators,All examples,Member of the National Assembly (MNA)
5,00010,Legislators,All examples,Member of the Provincial Parliament (MPP)
5,00010,Legislators,All examples,metropolitan council chair
5,00010,Legislators,All examples,municipal council chairman/woman
5,00010,Legislators,All examples,opposition leader
5,00010,Legislators,All examples,orator - government
5,00010,Legislators,All examples,premier
5,00010,Legislators,All examples,prime minister
5,00010,Legislators,All examples,reeve
5,00010,Legislators,All examples,regional municipality chair
5,00010,Legislators,All examples,school board trustee
5,00010,Legislators,All examples,senator
5,00010,Legislators,All examples,solicitor general
5,00010,Legislators,All examples,Treasury Board president
5,00010,Legislators,Exclusion(s),"Chief executive officer (CEO) - health, education, social and community services and membership organizations  (See 00013 Senior managers - health, education, social and community services and membership organizations)"
5,00010,Legislators,Exclusion(s),Commissioner - government services  (See 00011 Senior government managers and officials)
5,00010,Legislators,Main duties,This group performs some or all of the following duties:
5,00010,Legislators,Main duties,"Enact, amend or repeal laws and regulations "
5,00010,Legislators,Main duties,"Participate in developing or amending government policies, programs or procedures "
5,00010,Legislators,Main duties,"Represent their government at local, national and international meetings and conferences "
5,00010,Legislators,Main duties,Respond to matters of concern to constituents or the general public
5,00010,Legislators,Main duties,May serve as minister responsible for a government department or agency and direct senior government managers and officials in the implementation of government policy and the management of that department or agency.
5,00010,Legislators,Employment requirements,"Election to a legislative body, or appointment to positions such as senator, lieutenant-governor or governor general, is required. "
5,00011,Senior government managers and officials,Illustrative example(s),assistant deputy minister
5,00011,Senior government managers and officials,Illustrative example(s),chief administrative officer - regional municipality
5,00011,Senior government managers and officials,Illustrative example(s),chief statistician - government services
5,00011,Senior government managers and officials,Illustrative example(s),city administrator
5,00011,Senior government managers and officials,Illustrative example(s),deputy minister
5,00011,Senior government managers and officials,Illustrative example(s),director general - government services
5,00011,Senior government managers and officials,Illustrative example(s),executive director - government services
5,00011,Senior government managers and officials,Illustrative example(s),high commissioner
5,00011,Senior government managers and officials,Illustrative example(s),Human Rights Commission chairperson
5,00011,Senior government managers and officials,All examples,ambassador
5,00011,Senior government managers and officials,All examples,assistant chief statistician - government services
5,00011,Senior government managers and officials,All examples,assistant comptroller general - government services
5,00011,Senior government managers and officials,All examples,assistant deputy minister
5,00011,Senior government managers and officials,All examples,assistant deputy minister - government services
5,00011,Senior government managers and officials,All examples,assistant executive director - government services
5,00011,Senior government managers and officials,All examples,assistant general director - government services
5,00011,Senior government managers and officials,All examples,assistant undersecretary of state
5,00011,Senior government managers and officials,All examples,band manager - First Nations
5,00011,Senior government managers and officials,All examples,chairman/woman - government services
5,00011,Senior government managers and officials,All examples,chairperson - government services
5,00011,Senior government managers and officials,All examples,chief - disaster management
5,00011,Senior government managers and officials,All examples,chief administrative officer - government services
5,00011,Senior government managers and officials,All examples,chief administrative officer - regional municipality
5,00011,Senior government managers and officials,All examples,chief coroner
5,00011,Senior government managers and officials,All examples,chief electoral officer
5,00011,Senior government managers and officials,All examples,chief medical examiner
5,00011,Senior government managers and officials,All examples,chief privacy officer - government services
5,00011,Senior government managers and officials,All examples,chief statistician - government services
5,00011,Senior government managers and officials,All examples,city administrator
5,00011,Senior government managers and officials,All examples,city hall clerk
5,00011,Senior government managers and officials,All examples,city manager
5,00011,Senior government managers and officials,All examples,city superintendent
5,00011,Senior government managers and officials,All examples,clerk of the House of Commons
5,00011,Senior government managers and officials,All examples,Clerk of the Privy Council
5,00011,Senior government managers and officials,All examples,commissioner - government services
5,00011,Senior government managers and officials,All examples,commissioner of inquiries
5,00011,Senior government managers and officials,All examples,commissioner of inquiries - government services
5,00011,Senior government managers and officials,All examples,comptroller general - government services
5,00011,Senior government managers and officials,All examples,comptroller general of Canada
5,00011,Senior government managers and officials,All examples,consul
5,00011,Senior government managers and officials,All examples,council secretary - government services
5,00011,Senior government managers and officials,All examples,county clerk
5,00011,Senior government managers and officials,All examples,deputy commissioner - government services
5,00011,Senior government managers and officials,All examples,deputy minister
5,00011,Senior government managers and officials,All examples,deputy minister - government services
5,00011,Senior government managers and officials,All examples,deputy municipal clerk
5,00011,Senior government managers and officials,All examples,deputy provincial secretary - government services
5,00011,Senior government managers and officials,All examples,director general - government services
5,00011,Senior government managers and officials,All examples,employment insurance appeals board chairperson
5,00011,Senior government managers and officials,All examples,employment insurance commissioner
5,00011,Senior government managers and officials,All examples,executive administrator - government agency
5,00011,Senior government managers and officials,All examples,executive administrator - government department
5,00011,Senior government managers and officials,All examples,executive director - emergency preparedness
5,00011,Senior government managers and officials,All examples,executive director - government services
5,00011,Senior government managers and officials,All examples,fire marshal
5,00011,Senior government managers and officials,All examples,First Nations band manager
5,00011,Senior government managers and officials,All examples,general manager - government services
5,00011,Senior government managers and officials,All examples,general secretary - government services
5,00011,Senior government managers and officials,All examples,government agency commissioner
5,00011,Senior government managers and officials,All examples,government agency president
5,00011,Senior government managers and officials,All examples,government agency senior administrator
5,00011,Senior government managers and officials,All examples,grain commissioner
5,00011,Senior government managers and officials,All examples,health commissioner
5,00011,Senior government managers and officials,All examples,high commissioner
5,00011,Senior government managers and officials,All examples,highway commissioner
5,00011,Senior government managers and officials,All examples,Human Rights Commission chairperson
5,00011,Senior government managers and officials,All examples,inspector general of financial institutions
5,00011,Senior government managers and officials,All examples,liquor commissioner
5,00011,Senior government managers and officials,All examples,local government manager
5,00011,Senior government managers and officials,All examples,manager - First Nations
5,00011,Senior government managers and officials,All examples,municipal administrator
5,00011,Senior government managers and officials,All examples,ombudsperson - government services
5,00011,Senior government managers and officials,All examples,parole board chairman/woman
5,00011,Senior government managers and officials,All examples,president - government services
5,00011,Senior government managers and officials,All examples,railroad commissioner
5,00011,Senior government managers and officials,All examples,receiver general for Canada
5,00011,Senior government managers and officials,All examples,regional municipality general director
5,00011,Senior government managers and officials,All examples,secretary to the council - government services
5,00011,Senior government managers and officials,All examples,sergeant-at-arms of the House of Commons
5,00011,Senior government managers and officials,All examples,superintendent of financial institutions
5,00011,Senior government managers and officials,All examples,territorial commissioner
5,00011,Senior government managers and officials,All examples,town clerk
5,00011,Senior government managers and officials,All examples,township clerk
5,00011,Senior government managers and officials,All examples,trade commissioner
5,00011,Senior government managers and officials,All examples,undersecretary of state
5,00011,Senior government managers and officials,All examples,vice-consul
5,00011,Senior government managers and officials,All examples,vice-president - government services
5,00011,Senior government managers and officials,Inclusion(s),county clerk
5,00011,Senior government managers and officials,Inclusion(s),town clerk
5,00011,Senior government managers and officials,Exclusion(s),Legislators  (See 00010 Legislators)
5,00011,Senior government managers and officials,Exclusion(s),Managers in public administration  (See 4001 Managers in public administration)
5,00011,Senior government managers and officials,Main duties,This group performs some or all of the following duties:
5,00011,Senior government managers and officials,Main duties,"Establish objectives for the organization in accordance with government legislation and policy, formulate or approve and evaluate programs and procedures alone or in conjunction with senior government committees "
5,00011,Senior government managers and officials,Main duties,Advise elected representatives on policy questions and refer major policy matters to these representatives for final decision
5,00011,Senior government managers and officials,Main duties,"Recommend, review, evaluate and approve documents, briefs and reports submitted by middle managers and senior staff members "
5,00011,Senior government managers and officials,Main duties,Coordinate department activities with other senior government managers and officials
5,00011,Senior government managers and officials,Main duties,"Make presentations to legislative and other government committees regarding policies, programs or budgets "
5,00011,Senior government managers and officials,Main duties,Allocate human and financial resources to implement organizational policies and programs
5,00011,Senior government managers and officials,Main duties,Establish financial and administrative controls.
5,00011,Senior government managers and officials,Employment requirements,A university degree or college diploma is usually required.
5,00011,Senior government managers and officials,Employment requirements,A graduate degree in a related field may be required.
5,00011,Senior government managers and officials,Employment requirements,Several years of managerial experience in the public or private sector are required.
5,00011,Senior government managers and officials,Additional information,There is mobility among senior management occupations.
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),advertising agency president
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),bank president
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),chief executive officer (CEO) - telephone company
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),chief financial officer (CFO) - advertising agency
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),chief operating officer - engineering firm
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),computing services company president
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),credit union executive director
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),executive vice-president - real estate agency
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),general manager - real estate management company
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),human resources vice-president - bank
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),marketing vice-president - clerical staff services
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),operations vice-president - satellite communication services
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),"president and chief executive officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",Illustrative example(s),trust company regional vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,advertising agency president
5,00012,"Senior managers - financial, communications and other business services",All examples,"assistant executive director - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,bank credit vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,bank president
5,00012,"Senior managers - financial, communications and other business services",All examples,"chairman/woman - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"chairperson - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief diversity officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief executive officer (CEO) - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,chief executive officer (CEO) - telephone company
5,00012,"Senior managers - financial, communications and other business services",All examples,chief financial officer (CFO) - advertising agency
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief financial officer (CFO) - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief learning officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,chief operating officer - engineering firm
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief operating officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief privacy officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"chief sustainability officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"compensation vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,computing services company president
5,00012,"Senior managers - financial, communications and other business services",All examples,"controller - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,corporate banking vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,"corporate controller - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,corporate controller - mortgage brokerage firm
5,00012,"Senior managers - financial, communications and other business services",All examples,"corporate social responsibility vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,credit union executive director
5,00012,"Senior managers - financial, communications and other business services",All examples,credit union general manager
5,00012,"Senior managers - financial, communications and other business services",All examples,"deputy chief executive officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,deputy chief executive officer - life insurance company
5,00012,"Senior managers - financial, communications and other business services",All examples,domestic banking operations vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,employment agency general manager
5,00012,"Senior managers - financial, communications and other business services",All examples,engineering firm president
5,00012,"Senior managers - financial, communications and other business services",All examples,engineering research general manager
5,00012,"Senior managers - financial, communications and other business services",All examples,"engineering vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"executive director - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"executive vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,executive vice-president - real estate agency
5,00012,"Senior managers - financial, communications and other business services",All examples,"finance and administration vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"finance vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,finance vice-president - holding company
5,00012,"Senior managers - financial, communications and other business services",All examples,"general manager - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,general manager - real estate management company
5,00012,"Senior managers - financial, communications and other business services",All examples,"human resources and organizational development vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,human resources vice-president - bank
5,00012,"Senior managers - financial, communications and other business services",All examples,"human resources vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"information systems vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,insurance company general manager
5,00012,"Senior managers - financial, communications and other business services",All examples,international banking operations vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,marketing vice-president - clerical staff services
5,00012,"Senior managers - financial, communications and other business services",All examples,"marketing vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"operations vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,operations vice-president - satellite communication services
5,00012,"Senior managers - financial, communications and other business services",All examples,personal banking vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,personnel vice-president - bank
5,00012,"Senior managers - financial, communications and other business services",All examples,"personnel vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"planning vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,president and chief executive officer
5,00012,"Senior managers - financial, communications and other business services",All examples,"president and chief executive officer - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,protective services executive director
5,00012,"Senior managers - financial, communications and other business services",All examples,real estate management company executive director
5,00012,"Senior managers - financial, communications and other business services",All examples,"regional vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,senior vice-president and chief economist
5,00012,"Senior managers - financial, communications and other business services",All examples,"support services vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,"sustainability vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",All examples,telecommunications general manager
5,00012,"Senior managers - financial, communications and other business services",All examples,treasury vice-president - banking institution
5,00012,"Senior managers - financial, communications and other business services",All examples,trust company general manager
5,00012,"Senior managers - financial, communications and other business services",All examples,trust company regional vice-president
5,00012,"Senior managers - financial, communications and other business services",All examples,"vice-president - financial, communications and other business services "
5,00012,"Senior managers - financial, communications and other business services",Exclusion(s),Managers in communication (except broadcasting)  (See 1003 Managers in communication (except broadcasting))
5,00012,"Senior managers - financial, communications and other business services",Exclusion(s),"Managers in engineering, architecture, science and information systems  (See 2001 Managers in engineering, architecture, science and information systems)"
5,00012,"Senior managers - financial, communications and other business services",Exclusion(s),Managers in financial and business services  (See 1002 Managers in financial and business services)
5,00012,"Senior managers - financial, communications and other business services",Main duties,This group performs some or all of the following duties:
5,00012,"Senior managers - financial, communications and other business services",Main duties,"Determine the company's mission and strategic direction as conveyed through policies and concrete objectives which are met through the effective management of human, financial and material resources "
5,00012,"Senior managers - financial, communications and other business services",Main duties,Authorize and organize the establishment of major departments and associated senior staff positions
5,00012,"Senior managers - financial, communications and other business services",Main duties,"Allocate material, human and financial resources to implement organizational policies and programs; establish financial and administrative controls; formulate and approve promotional campaigns; and approve overall human resources planning "
5,00012,"Senior managers - financial, communications and other business services",Main duties,"Select middle managers, directors or other executive staff; delegate the necessary authority to them and create optimum working conditions "
5,00012,"Senior managers - financial, communications and other business services",Main duties,"Represent the organization, or delegate representatives to act on behalf of the organization, in negotiations or other official functions. "
5,00012,"Senior managers - financial, communications and other business services",Main duties,"Senior managers in this unit group may specialize in areas such as finance, marketing or human resources or in a particular service area. "
5,00012,"Senior managers - financial, communications and other business services",Employment requirements,"A university degree in business administration, commerce, computer science or other discipline related to the service provided is usually required. "
5,00012,"Senior managers - financial, communications and other business services",Employment requirements,"Several years of experience as a middle manager in financial, communications or other business services are usually required. "
5,00012,"Senior managers - financial, communications and other business services",Employment requirements,Specialization in a particular functional area or service is possible through specific university training in that area or through previous experience.
5,00012,"Senior managers - financial, communications and other business services",Employment requirements,Senior managers in finance usually require a professional accounting or financial designation.
5,00012,"Senior managers - financial, communications and other business services",Additional information,There is mobility among senior management occupations.
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),arts and culture association chairperson
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),automobile association executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),business association president
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),educational institution chief financial officer (CFO)
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),health services institution executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),labour organization president
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),membership organization general manager
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),music guild president
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),professional association executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),scientific association chairperson
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),social services institution corporate controller
5,00013,"Senior managers - health, education, social and community services and membership organizations",Illustrative example(s),voluntary organization executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,academic affairs vice-president - post-secondary education
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,academic association president
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,academic business vice-president
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,alumni association executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,arts and culture association chairperson
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,arts association executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"assistant executive director - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,association executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,automobile association executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,business association general manager
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,business association president
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,business general manager
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,business school general manager
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chairman/woman - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chairperson - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,chancellor - education
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,charitable organization director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,charitable organization executive director
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief diversity officer - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief executive officer (CEO) - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief financial officer (CFO) - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief learning officer - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief nursing officer - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief operating officer - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief privacy officer - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"chief sustainability officer - health, education, social and community services and membership organizations "
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,college chancellor
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,college president
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,community college president
5,00013,"Senior managers - health, education, social and community services and membership organizations",All examples,"compensation vice-president - health, education, social and community services and membership organizations "
