CNP 2021 Code (5 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,CNP 2016 Code (4 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,Description
10,Membres des corps législatifs,0,11,Membres des corps législatifs,Gestion / A,s.o.
11,Cadres supérieurs / cadres supérieures - administration publique,0,12,Cadres supérieurs / cadres supérieures - administration publique,Gestion / A,s.o.
12,"Cadres supérieurs / cadres supérieures - services financiers, communications et autres services aux entreprises",0,13,"Cadres supérieurs / cadres supérieures - services financiers, communications et autres services aux entreprises",Gestion / A,s.o.
13,"Cadres supérieurs / cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",0,14,"Cadres supérieurs / cadres supérieures - santé, enseignement, services sociaux et communautaires et associations mutuelles",Gestion / A,s.o.
14,"Cadres supérieurs / cadres supérieures - commerce, radiotélédiffusion et autres services",0,15,"Cadres supérieurs / cadres supérieures - commerce, radiotélédiffusion et autres services, n.c.a.",Gestion / A,s.o.
15,"Cadres supérieurs / cadres supérieures - construction, transport, production et services d'utilité publique",0,16,"Cadres supérieurs / cadres supérieures - construction, transport, production et services d'utilité publique",Gestion / A,s.o.
10010,Directeurs financiers / directrices financières,0,111,Directeurs financiers / directrices financières,Gestion / A,s.o.
10011,Directeurs / directrices des ressources humaines,0,112,Directeurs / directrices des ressources humaines,Gestion / A,Le CNP 0112 a été divisé. Les appellations d'emploi liées aux directeurs des ressources humaines ont été déplacées du CNP 0112 au CNP 10011.
10012,Directeurs / directrices des achats,0,113,Directeurs / directrices des achats,Gestion / A,s.o.
10019,Directeurs / directrices d'autres services administratifs,0,114,Directeurs / directrices d'autres services administratifs,Gestion / A,Les appellations d'emploi liées aux directeurs d'autres services administratifs ont été déplacées du CNP 1227 au CNP 10019.
,,,1227,Juges de paix et officiers / officières de justice,B,"Le CNP 1227 a été divisé. L'appellation d'emploi ""greffier / greffière d'un tribunal"" a été déplacée du CNP 1227 au CNP 10019."
10020,"Directeurs / directrices des assurances, de l'immobilier et du courtage financier",0,121,"Directeurs / directrices des assurances, de l'immobilier et du courtage financier",Gestion / A,s.o.
10021,"Directeurs / directrices de banque, du crédit et d'autres services de placements",0,122,"Directeurs / directrices de banque, du crédit et d'autres services de placements",Gestion / A,s.o.
10022,"Directeurs / directrices de la publicité, du marketing et des relations publiques",0,124,"Directeurs / directrices de la publicité, du marketing et des relations publiques",Gestion / A,"Les appellations d'emploi liées aux directeurs de la publicité, du marketing et des relations publiques ont été déplacées du CNP 0124 au CNP 10022."
,,,1123,"Professionnels / professionnelles en publicité, en marketing et en relations publiques",A,"Le CNP 1123 a été divisé. L'appellation d'emploi ""Gestionnaire de communauté - médias sociaux"" a été remplacée par ""gestionnaire des médias sociaux"" et a été déplacée du CNP 1123 au CNP 10022."
