CNP 2021 Code (5 chiffres),CNP 2021 Étiquette,CNP 2021 FÉER,CNP 2016 Code (4 chiffres),CNP 2016 Étiquette,CNP 2016 Niveau de compétence,Description
10029,Directeurs / directrices d'autres services aux entreprises,0,125,Directeurs / directrices d'autres services aux entreprises,Gestion / A,s.o.
10030,Directeurs / directrices d'entreprises de télécommunications,0,131,Directeurs / directrices d'entreprises de télécommunications,Gestion / A,s.o.
11100,Vérificateurs / vérificatrices et comptables,1,1111,Vérificateurs / vérificatrices et comptables,A,Les appellations d'emploi liées aux vérificateurs et comptables ont été déplacées du CNP 1111 au CNP 11100.
,,,1114,Autres agents financiers / agentes financières,A,Le CNP 1114 a été divisé. Les appellations d'emploi liées à la gestion financière ont été déplacées du CNP 1114 au CNP 11100.
11101,Analystes financiers / analystes financières et analystes en placements,1,1112,Analystes financiers / analystes financières et analystes en placements,A,s.o.
11102,Conseillers financiers / conseillères financières,1,1114,Autres agents financiers / agentes financières,A,Le CNP 1114 a été divisé. Les appellations d'emploi liées aux conseillers financiers ont été déplacées du CNP 1114 au CNP 11102.
11103,"Agents / agentes en valeurs, agents / agentes en placements et négociateurs / négociatrices en valeurs",1,1113,"Agents / agentes en valeurs, agents / agentes en placements et négociateurs / négociatrices en valeurs",A,s.o.
11109,Autres agents financiers / agentes financières,1,1114,Autres agents financiers / agentes financières,A,Le CNP 1114 a été divisé. Les appellations d'emploi liées aux autres agents financiers ont été déplacées du CNP 1114 au CNP 11109.
11200,Professionnels / professionnelles en ressources humaines,1,1121,Professionnels / professionnelles en ressources humaines,A,Les appellations d'emploi liées aux professionnels en ressources humaines ont été déplacées du CNP 1121 au CNP 11200.
,,,112,Directeurs / directrices des ressources humaines,Gestion / A,"Le CNP 0112 a été divisé. L'appellation d'emploi ""coordonnateur / coordonnatrice de la formation du personnel"" a été déplacée du CNP 0112 au CNP 11200."
11201,Professionnels / professionnelles des services-conseils en gestion aux entreprises,1,1122,Professionnels / professionnelles des services-conseils en gestion aux entreprises,A,s.o.
11202,"Professionnels / professionnelles en publicité, en marketing et en relations publiques",1,1123,"Professionnels / professionnelles en publicité, en marketing et en relations publiques",A,"Le CNP 1123 a été divisé. Les appellations d'emploi liées aux professionnels en publicité, en marketing et en relations publiques ont été déplacées du CNP 1123 au CNP 11202."
,,,4163,"Agents / agentes de développement économique, recherchistes et experts-conseils / expertes-conseils en marketing",A,"Le CNP 4163 a été divisé. L'appellation d'emploi ""consultant / consultante en marketing"" a été déplacée du CNP 4163 au CNP 11202."
12010,Superviseurs / superviseures de commis de bureau et du personnel de soutien administratif,2,1211,Superviseurs / superviseures de commis de bureau et du personnel de soutien administratif,B,s.o.
12011,Superviseurs / superviseures de commis de finance et d'assurance,2,1212,Superviseurs / superviseures de commis de finance et d'assurance,B,s.o.
12012,"Superviseurs / superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",2,1213,"Superviseurs / superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",B,s.o.
12013,"Superviseurs / superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",2,1215,"Superviseurs / superviseures du personnel de co-ordination de la chaîne d'approvisionnement, du suivi et des horaires",B,"Le CNP 1215 a été divisé. Les appellations d'emploi liées aux superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires ont été déplacées du CNP 1215 au CNP 12013."
12100,Adjoints / adjointes de direction,2,1222,Adjoints / adjointes de direction,B,s.o.
12101,Agents / agentes des ressources humaines et de recrutement,2,1223,Agents / agentes des ressources humaines et de recrutement,B,s.o.
12102,Agents / agentes en approvisionnement aux achats,2,1225,Agents / agentes aux achats,B,s.o.
12103,Planificateurs / planificatrices de congrès et d'événements,2,1226,Planificateurs / planificatrices de congrès et d'événements,B,s.o.
12104,Agents / agentes d'assurance-emploi et du revenu,2,1228,"Agents / agentes d'assurance-emploi, d'immigration, de services frontaliers et du revenu",B,Le CNP 1228 a été divisé. Les appellations d'emploi liées aux agents de l'assurance-emploi et aux revenus ont été déplacées du CNP 1228 au CNP 12104.
12110,"Sténographes judiciaires, transcripteurs médicaux / transcriptrices médicales et personnel assimilé",2,1251,"Sténographes judiciaires, transcripteurs médicaux / transcriptrices médicales et personnel assimilé",B,s.o.
12111,Personnel en gestion de l’information sur la santé,2,1252,Professionnels / professionnelles de la gestion de l'information sur la santé,B,s.o.
12112,Techniciens / techniciennes à la gestion des documents,2,1253,Techniciens / techniciennes à la gestion des documents,B,s.o.
12113,Agents / agentes de statistiques et professions connexes du soutien de la recherche,2,1254,Agents / agentes de statistiques et professions connexes du soutien de la recherche,B,s.o.
12200,Techniciens / techniciennes en comptabilité et teneurs / teneuses de livres,2,1311,Techniciens / techniciennes en comptabilité et teneurs / teneuses de livres,B,s.o.
12201,Experts / expertes en sinistres et rédacteurs / rédactrices sinistres,2,1312,Experts / expertes en sinistres et rédacteurs / rédactrices sinistres,B,s.o.
12202,Assureurs / assureuses,2,1313,Assureurs / assureuses,B,s.o.
12203,"Estimateurs / estimatrices, évaluateurs / évaluatrices d'entreprise et autres évaluateurs / évaluatrices",2,1314,Estimateurs / estimatrices et évaluateurs / évaluatrices,B,s.o.
13100,Agents / agentes d'administration,3,1221,Agents / agentes d'administration,B,s.o.
13101,Agents / agentes de gestion immobilière,3,1224,Agents / agentes de gestion immobilière,B,s.o.
13102,Administrateurs / administratrices de la paye,3,1432,Administrateurs / administratrices de la paye,C,s.o.
13110,Adjoints administratifs / adjointes administratives,3,112,Directeurs / directrices des ressources humaines,Gestion / A,"Le CNP 0112 a été divisé. L'appellation d'emploi ""administrateur / administratrice des ressources humaines"" a été déplacée du CNP 0112 au CNP 13110."
,,,1241,Adjoints administratifs / adjointes administratives,B,Les appellations d'emploi liées aux adjoints administratifs ont été déplacées du CNP 0112 au CNP 13110.
13111,Adjoints administratifs juridiques / adjointes administratives juridiques,3,1242,Adjoints administratifs juridiques / adjointes administratives juridiques,B,s.o.
13112,Adjoints administratifs médicaux / adjointes administratives médicales,3,1243,Adjoints administratifs médicaux / adjointes administratives médicales,B,s.o.
13200,"Courtiers / courtières en douanes, courtiers maritimes / courtières maritimes et autres courtiers / courtières",3,1315,"Courtiers / courtières en douanes, courtiers maritimes / courtières maritimes et autres courtiers / courtières",B,s.o.
13201,Coordonnateur / coordonnatrice de la logistique de la production et du transport,3,1215,"Superviseurs / superviseures du personnel de co-ordination de la chaîne d'approvisionnement, du suivi et des horaires",B,"Le CNP 1215 a été divisé. Les appellations d'emploi liées aux postes de non-superviseur en logistique, fret et transport ont été déplacées du CNP 1215 au CNP 13201."
,,,1523,Coordonnateurs / coordonnatrices de la logistique de la production,C,Le CNP 1523 a été divisé. Les appellations d'emploi liées au coordonnateurs dans la logistique de production ont été déplacées du CNP 1523 au CNP 13201.
14100,Employés / employées de bureau - soutien général,4,1411,Employés de soutien de bureau généraux / employées de soutien de bureau générales,C,s.o.
14101,Réceptionnistes,4,1414,Réceptionnistes,C,s.o.
14102,Commis des services du personnel,4,1415,Commis des services du personnel,C,s.o.
14103,Commis des services judiciaires et autres professions des services judiciaires,4,1416,Commis des services judiciaires,C,Les appellations d'emploi liées aux commis des services judiciaires ont été déplacées du CNP 1416 au CNP 14103.
,,,1227,Juges de paix et officiers / officières de justice,B,Le CNP 1227 a été divisé. Les appellations d'emploi liées aux postes de constable judiciaire et administrateur d'un tribunal ont été déplacées du CNP 1227 au CNP 14103.
14110,Intervieweurs / intervieweuses pour enquêtes et commis aux statistiques,4,1454,Intervieweurs / intervieweuses pour enquêtes et commis aux statistiques,C,s.o.
14111,Commis à la saisie de données,4,1422,Commis à la saisie de données,C,s.o.
14112,Opérateurs / opératrices d'équipement d'éditique et personnel assimilé,4,1423,Opérateurs / opératrices d'équipement d'éditique et personnel assimilé,C,s.o.
14200,Commis à la comptabilité et personnel assimilé,4,1431,Commis à la comptabilité et personnel assimilé,C,s.o.
14201,"Commis de banque, d'assurance et d'autres services financiers",4,1434,"Commis de banque, d'assurance et d'autres services financiers",C,s.o.
14202,Commis de recouvrement,4,1435,Agents / agentes de recouvrement,C,s.o.
14300,Commis et assistants / assistantes dans les bibliothèques,4,1451,Commis et assistants / assistantes dans les bibliothèques,C,s.o.
14301,Correspondanciers / correspondancières et commis aux publications et aux règlements,4,1452,Correspondanciers / correspondancières et commis aux publications et aux règlements,C,s.o.
14400,Expéditeurs / expéditrices et réceptionnaires,4,1521,Expéditeurs / expéditrices et réceptionnaires,C,s.o.
14401,Magasiniers / magasinières et commis aux pièces,4,1522,Magasiniers / magasinières et commis aux pièces,C,s.o.
14402,Travailleurs / travailleuses de la logistique de la production,4,1523,Coordonnateurs / coordonnatrices de la logistique de la production,C,Le CNP 1523 a été divisé. Les appellations d'emploi liées au travailleurs dans la logistique de production ont été déplacées du CNP 1523 au CNP 14402.
14403,Commis aux achats et au contrôle de l'inventaire,4,1524,Commis aux achats et au contrôle de l'inventaire,C,s.o.
14404,Répartiteurs / répartitrices,4,1525,Répartiteurs / répartitrices,C,s.o.
14405,Horairistes de trajets et d'équipages,4,1526,Horairistes de trajets et d'équipages,C,s.o.
20010,Directeurs / directrices des services de génie,0,211,Directeurs / directrices des services de génie,Gestion / A,s.o.
20011,Directeurs / directrices des services d'architecture et de sciences,0,212,Directeurs / directrices des services d'architecture et de sciences,Gestion / A,s.o.
20012,Gestionnaires des systèmes informatiques,0,213,Gestionnaires des systèmes informatiques,Gestion / A,s.o.
21100,Physiciens / physiciennes et astronomes,1,2111,Physiciens / physiciennes et astronomes,A,s.o.
21101,Chimistes,1,2112,Chimistes,A,s.o.
21102,Géoscientifiques et océanographes,1,2113,Géoscientifiques et océanographes,A,s.o.
21103,Météorologues et climatologues,1,2114,Météorologues et climatologues,A,s.o.
21109,Autres professionnels / professionnelles des sciences physiques,1,2115,Autres professionnels / professionnelles des sciences physiques,A,s.o.
21110,Biologistes et personnel scientifique assimilé,1,2121,Biologistes et personnel scientifique assimilé,A,Les appellations d'emploi liées aux biologistes et personnel scientifique assimilé ont été déplacées du CNP 2121 au CNP 21110.
,,,4165,"Recherchistes, experts-conseils / expertes-conseils et agents / agentes de programmes en politiques de la santé",A,Le CNP 4165 a été divisé. Les appellations d'emploi liées à la recherche clinique ont été déplacées du CNP 4165 au CNP 21110.
21111,Professionnels / professionnelles des sciences forestières,1,2122,Professionnels / professionnelles des sciences forestières,A,s.o.
21112,"Agronomes, conseillers / conseillères et spécialistes en agriculture",1,2123,"Agronomes, conseillers / conseillères et spécialistes en agriculture",A,s.o.
21120,Professionnels / professionnelles de la santé et sécurité publique et environnementale,1,112,Directeurs / directrices des ressources humaines,Gestion / A,Le CNP 0112 a été divisé. Les appellations d'emploi liées aux coordonnateurs de la santé et sécurité publique et environnementale ont été déplacées du CNP 0112 au CNP 21120.
,,,2263,"Inspecteurs / inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",B,Le CNP 2263 a été divisé. Les appellations d'emploi liées à la santé et sécurité publique et environnementale ont été déplacées du CNP 2263 au CNP 21120.
21200,Architectes,1,2151,Architectes,A,s.o.
21201,Architectes paysagistes,1,2152,Architectes paysagistes,A,s.o.
21202,Urbanistes et planificateurs / planificatrices de l'utilisation des sols,1,2153,Urbanistes et planificateurs / planificatrices de l'utilisation des sols,A,s.o.
21203,Arpenteurs-géomètres / arpenteuses-géomètres,1,2154,Arpenteurs-géomètres / arpenteuses-géomètres,A,s.o.
21210,"Mathématiciens / mathématiciennes, statisticiens / statisticiennes et actuaires",1,2161,"Mathématiciens / mathématiciennes, statisticiens / statisticiennes et actuaires",A,s.o.
21211,Scientifiques de données,1,2171,Analystes et consultants / consultantes en informatique,A,Le CNP 2171 a été divisé. Les appellations d'emploi liées à l'analyse et conseil de l'intelligence artificielle ont été déplacées du CNP 2171 au CNP 21211.
,,,2172,Analystes de bases de données et administrateurs / administratrices de données,A,Le CNP 2172 a été divisé. Les appellations d'emploi liées aux scientifiques de données et explorateur de données ont été déplacées du CNP 2172 au CNP 21211.
,,,2173,Ingénieurs / ingénieures et concepteurs / conceptrices en logiciel,A,Le CNP 2173 a été divisé. Les appellations d'emploi liées à la conception d'intelligence artificielle ont été déplacées du CNP 2173 au CNP 21211.
21220,Spécialistes de la cybersécurité,1,2171,Analystes et consultants / consultantes en informatique,A,Le CNP 2171 a été divisé. Les appellations d'emploi liées à la cyber-sécurité ont été déplacées du CNP 2171 au CNP 21220.
21221,Spécialistes des systèmes commerciaux,1,2171,Analystes et consultants / consultantes en informatique,A,Le CNP 2171 a été divisé. Les appellations d'emploi liées aux systèmes d'entreprise ont été déplacées du CNP 2171 au CNP 21211.
21222,Spécialistes en informatique,1,2171,Analystes et consultants / consultantes en informatique,A,Le CNP 2171 a été divisé. Les appellations d'emploi liées aux spécialistes des systèmes d'information ont été déplacées du CNP 2171 au CNP 21222.
21223,Analystes de bases de données et administrateurs / administratrices de données,1,2172,Analystes de bases de données et administrateurs / administratrices de données,A,Le CNP 2172 a été divisé. Les appellations d'emploi liées aux analystes de bases de données et administrateurs de données ont été déplacées du CNP 2172 au CNP 21223.
21230,Développeurs / développeuses et programmeurs / programmeuses de systèmes informatiques,1,2174,Programmeurs / programmeuses et développeurs / développeuses en médias interactifs,A,Le CNP 2174 a été divisé. Les appellations d'emploi liées au développement et programmation de systèmes informatiques ont été déplacées du CNP 2174 au CNP 21230.
21231,Ingénieurs / ingénieures et concepteurs / conceptrices en logiciel,1,2173,Ingénieurs / ingénieures et concepteurs / conceptrices en logiciel,A,Le CNP 2173 a été divisé. Les appellations d'emploi liées aux ingénieurs et concepteurs en logiciel ont été déplacées du CNP 2173 au CNP 21231.
21232,Développeurs / développeuses et programmeurs / programmeuses de logiciels,1,2174,Programmeurs / programmeuses et développeurs / développeuses en médias interactifs,A,Le CNP 2174 a été divisé. Les appellations d'emploi liées au développement de logiciels et multimédia ont été déplacées du CNP 2174 au CNP 21232.
21233,Concepteurs / conceptrices Web,1,2171,Analystes et consultants / consultantes en informatique,A,"Le CNP 2171 a été divisé. Les appellations d'emploi ""consultant / consultante en multimédias"" et ""consultant / consultante en médias interactifs"" ont été déplacées du CNP 2171 au CNP 21233."
,,,2175,Développeurs / développeuses et programmeurs / programmeuses Web,A,Le CNP 2175 a été divisé. Les appellations d'emploi liées à la conception web ont été déplacées du CNP 2175 au 21233.
21234,Développeurs / développeuses et programmeurs / programmeuses Web,1,2174,Programmeurs / programmeuses et développeurs / développeuses en médias interactifs,A,Le CNP 2174 a été divisé. Les appellations d'emploi liées au développement et programmation web ont été déplacées du CNP 2174 au CNP 21234.
,,,2175,Développeurs / développeuses et programmeurs / programmeuses Web,A,Le CNP 2174 a été divisé. Les appellations d'emploi liées au développement et programmation web ont été déplacées du CNP 2174 au CNP 21234.
21300,Ingénieurs civils / ingénieures civiles,1,2131,Ingénieurs civils / ingénieures civiles,A,s.o.
21301,Ingénieurs mécaniciens / ingénieures mécaniciennes,1,2132,Ingénieurs mécaniciens / ingénieures mécaniciennes,A,s.o.
21310,Ingénieurs électriciens et électroniciens / ingénieures électriciennes et électroniciennes,1,2133,Ingénieurs électriciens et électroniciens / ingénieures électriciennes et électroniciennes,A,s.o.
21311,Ingénieurs informaticiens / ingénieures informaticiennes (sauf ingénieurs / ingénieures et concepteurs / conceptrices en logiciel),1,2147,Ingénieurs informaticiens / ingénieures informaticiennes (sauf ingénieurs / ingénieures et concepteurs / conceptrices en logiciel),A,s.o.
21320,Ingénieurs chimistes / ingénieures chimistes,1,2134,Ingénieurs chimistes / ingénieures chimistes,A,s.o.
21321,Ingénieurs / ingénieures d'industrie et de fabrication,1,2141,Ingénieurs / ingénieures d'industrie et de fabrication,A,s.o.
21322,Ingénieurs / ingénieures métallurgistes et des matériaux,1,2142,Ingénieurs / ingénieures métallurgistes et des matériaux,A,s.o.
21330,Ingénieurs miniers / ingénieures minières,1,2143,Ingénieurs miniers / ingénieures minières,A,s.o.
21331,Ingénieurs / ingénieures géologiques,1,2144,Ingénieurs géologues / ingénieures géologues,A,s.o.
21332,Ingénieurs / ingénieures de l'extraction et du raffinage du pétrole,1,2145,Ingénieurs / ingénieures de l'extraction et du raffinage du pétrole,A,s.o.
21390,Ingénieurs / ingénieures en aérospatiale,1,2146,Ingénieurs / ingénieures en aérospatiale,A,s.o.
21399,Autres ingénieurs / ingénieures,1,2148,"Autres ingénieurs / ingénieures, n. c. a.",A,s.o.
22100,Technologues et techniciens / techniciennes en chimie,2,2211,Technologues et techniciens / techniciennes en chimie,B,s.o.
22101,Technologues et techniciens / techniciennes en géologie et en minéralogie,2,2212,Technologues et techniciens / techniciennes en géologie et en minéralogie,B,s.o.
22110,Technologues et techniciens / techniciennes en biologie,2,2221,Technologues et techniciens / techniciennes en biologie,B,s.o.
22111,Inspecteurs / inspectrices des produits agricoles et de la pêche,2,2222,Inspecteurs / inspectrices des produits agricoles et de la pêche,B,s.o.
22112,Technologues et techniciens / techniciennes en sciences forestières,2,2223,Technologues et techniciens / techniciennes en sciences forestières,B,s.o.
22113,Techniciens / techniciennes du milieu naturel et de la pêche,2,2224,Techniciens / techniciennes du milieu naturel et de la pêche,B,s.o.
22114,Techniciens / techniciennes et spécialistes de l'aménagement paysager et de l'horticulture,2,2225,Techniciens / techniciennes et spécialistes de l'aménagement paysager et de l'horticulture,B,s.o.
22210,Technologues et techniciens / techniciennes en architecture,2,2251,Technologues et techniciens / techniciennes en architecture,B,s.o.
22211,Designers industriels / designers industrielles,2,2252,Designers industriels / designers industrielles,B,s.o.
22212,Technologues et techniciens / techniciennes en dessin,2,2253,Technologues et techniciens / techniciennes en dessin,B,s.o.
22213,Technologues et techniciens / techniciennes en arpentage,2,2254,Technologues et techniciens / techniciennes en arpentage,B,s.o.
22214,Personnel technique en géomatique et en météorologie,2,2255,Personnel technique en géomatique et en météorologie,B,s.o.
22220,Techniciens / techniciennes de réseau informatique et Web,2,2281,Techniciens / techniciennes de réseau informatique,B,s.o.
22221,Agents / agentes de soutien aux utilisateurs,2,2282,Agents / agentes de soutien aux utilisateurs,B,s.o.
22222,Évaluateurs / évaluatrices de systèmes informatiques,2,2283,Évaluateurs / évaluatrices de systèmes informatiques,B,s.o.
22230,Vérificateurs / vérificatrices et inspecteurs / inspectrices des essais non destructifs,2,2261,Vérificateurs / vérificatrices et inspecteurs / inspectrices des essais non destructifs,B,s.o.
22231,Inspecteurs / inspectrices d'ingénierie et officiers / officières de réglementation,2,2262,Inspecteurs / inspectrices d'ingénierie et officiers / officières de réglementation,B,s.o.
22232,Spécialistes de l'hygiène et de la sécurité au travail,2,2263,"Inspecteurs / inspectrices de la santé publique, de l'environnement et de l'hygiène et de la sécurité au travail",B,Le CNP 2263 a été divisé. Les appellations d'emploi liées à l'hygiène et la sécurité au travail ont été déplacées du CNP 2263 au CNP 22232.
,,,112,Directeurs / directrices des ressources humaines,Gestion / A,Le CNP 0112 a été divisé.  Les appellations d'emploi liées aux spécialistes de l'hygiène et de la sécurité au travail ont été déplacées du CNP 0112 au CNP 22232.
22233,Inspecteurs / inspectrices en construction,2,2264,Inspecteurs / inspectrices en construction,B,s.o.
22300,Technologues et techniciens / techniciennes en génie civil,2,2231,Technologues et techniciens / techniciennes en génie civil,B,s.o.
22301,Technologues et techniciens / techniciennes en génie mécanique,2,2232,Technologues et techniciens / techniciennes en génie mécanique,B,s.o.
22302,Technologues et techniciens / techniciennes en génie industriel et en génie de fabrication,2,2233,Technologues et techniciens / techniciennes en génie industriel et en génie de fabrication,B,s.o.
22303,Estimateurs / estimatrices en construction,2,2234,Estimateurs / estimatrices en construction,B,s.o.
22310,Technologues et techniciens / techniciennes en génie électrique et électronique,2,2241,Technologues et techniciens / techniciennes en génie électronique et électrique,B,s.o.
22311,Électroniciens / électroniciennes d'entretien (biens domestiques et commerciaux),2,2242,Électroniciens / électroniciennes d'entretien (biens domestiques et commerciaux),B,Les appellations d'emploi liées aux électroniciens d'entretien (biens domestiques et commerciaux) ont été déplacées du CNP 2242 au CNP 22311.
,,,7445,Autres réparateurs / réparatrices et préposés / préposées à l'entretien,C,"Le CNP 7445 a été divisé. L'appellation d'emploi ""technicien / technicienne de systèmes de sécurité"" a été déplacée du CNP 7445 au CNP 22311."
22312,Techniciens / techniciennes et mécaniciens / mécaniciennes d'instruments industriels,2,2243,Techniciens / techniciennes et mécaniciens / mécaniciennes d'instruments industriels,B,s.o.
22313,"Mécaniciens / mécaniciennes, techniciens / techniciennes et contrôleurs / contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs",2,2244,"Mécaniciens / mécaniciennes, techniciens / techniciennes et contrôleurs / contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs",B,s.o.
30010,Directeurs / directrices des soins de santé,0,311,Directeurs / directrices des soins de santé,Gestion / A,s.o.
31100,Spécialistes en médecine clinique et de laboratoire,1,3111,Médecins spécialistes,A,Le CNP 3111 a été divisé. Les appellations d'emploi liées aux spécialistes en médecine clinique et de laboratoire ont été déplacées du CNP 3111 au CNP 31100.
31101,Spécialistes en chirurgie,1,3111,Médecins spécialistes,A,Le CNP 3111 a été divisé. Les appellations d'emploi liées aux spécialistes en chirurgie ont été déplacées du CNP 3111 au CNP 31101.
31102,Omnipraticiens / omnipraticiennes et médecins en médecine familiale,1,3112,Omnipraticiens / omnipraticiennes et médecins en médecine familiale,A,s.o.
31103,Vétérinaires,1,3114,Vétérinaires,A,s.o.
31110,Dentistes,1,3113,Dentistes,A,s.o.
31111,Optométristes,1,3121,Optométristes,A,s.o.
31112,Audiologistes et orthophonistes,1,3141,Audiologistes et orthophonistes,A,s.o.
31120,Pharmaciens / pharmaciennes,1,3131,Pharmaciens / pharmaciennes,A,s.o.
31121,Diététistes et nutritionnistes,1,3132,Diététistes et nutritionnistes,A,s.o.
31200,Psychologues,1,4151,Psychologues,A,"Le CNP 4151 a été divisé. Les appellations d'emploi liées au psychologues ont été déplacées du CNP 4151 au CNP 31200. Cette profession a été déplacée au secteur de la santé, GCP 3."
31201,Chiropraticiens / chiropraticiennes,1,3122,Chiropraticiens / chiropraticiennes,A,s.o.
31202,Physiothérapeutes,1,3142,Physiothérapeutes,A,Le CNP 3142 a été divisé. Les appellations d'emploi liées aux physiothérapeutes ont été déplacées du CNP 3142 au CNP 31202.
31203,Ergothérapeutes,1,3143,Ergothérapeutes,A,s.o.
31204,Kinésiologues et autres professionnels / professionnelles en thérapie et en diagnostic,1,3144,Autres professionnels / professionnelles en thérapie et en diagnostic,A,Le CNP 3144 a été divisé. Les appellations d'emploi liées aux Kinésiologues et autres professionnels en thérapie et en diagnostic ont été déplacées du CNP 3144 au CNP 31204.
31209,Autres professionnels / professionnelles en diagnostic et en traitement de la santé,1,3125,Autres professionnels / professionnelles en diagnostic et en traitement de la santé,A,Le CNP 3125 a été divisé. Les appellations d'emploi liées aux professionnels en diagnostic et en traitement de la santé ont été déplacées du CNP 3125 au CNP 31209.
31300,Coordonnateurs / coordonnatrices et superviseurs / superviseures des soins infirmiers,1,3011,Coordonnateurs / coordonnatrices et superviseurs / superviseures des soins infirmiers,A,s.o.
31301,Infirmiers autorisés / infirmières autorisées et infirmiers psychiatriques autorisés / infirmières psychiatriques autorisées,1,3012,Infirmiers autorisés / infirmières autorisées et infirmiers psychiatriques autorisés / infirmières psychiatriques autorisées,A,s.o.
31302,Infirmiers praticiens / infirmières praticiennes,1,3124,Praticiens / praticiennes reliés en soins de santé primaire,A,Le CNP 3124 a été divisé. Les appellations d'emploi liées aux infirmiers praticiens ont été déplacées du CNP 3124 au CNP 31302.
31303,"Adjoints au médecin, sages-femmes et professionnels paramédicaux",1,3124,Praticiens / praticiennes reliés en soins de santé primaire,A,"Le CNP 3124 a été divisé. Les appellations d'emploi liées aux adjoints au médecin, sages-femmes et professionnels paramédicaux ont été déplacées du CNP 3124 au CNP 31303."
,,,3125,Autres professionnels / professionnelles en diagnostic et en traitement de la santé,A,"Le CNP 3125 a été divisé. L'appellation d'emploi ""orthoptiste"" a été déplacée du CNP 3125 au CNP 31303."
,,,3212,Techniciens / techniciennes de laboratoire médical et assistants / assistantes en pathologie,B,Le CNP 3212 a été divisé. Les appellations d'emploi liées aux assistants en pathologie ont été déplacées du CNP 3212 au CNP 31303.
,,,4153,"Thérapeutes conjugaux / thérapeutes conjugales, thérapeutes familiaux / thérapeutes familiales et autres conseillers assimilés / conseillères assimilées",A,"Le CNP 4153 a été divisé. L'appellation d'emploi ""conseiller / conseillère en génétique"" a été déplacée du CNP 4153 au CNP 31303."
32100,Opticiens / opticiennes d'ordonnances,2,3231,Opticiens / opticiennes d'ordonnances,B,s.o.
32101,Infirmiers auxiliaires / infirmières auxiliaires,2,3233,Infirmiers auxiliaires / infirmières auxiliaires,B,s.o.
32102,Personnel ambulancier et paramédical,2,3234,Personnel ambulancier et paramédical,B,s.o.
