NOC 2016 Code (2-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (2-digit),NOC 2021 Label,NOC 2021 TEER,Description
,Start deletion. End deletion.,,11,Professional occupations in finance and business,1,All unit groups were relocated to major group 11. Label was modified.
,Start deletion. End deletion.,,64,Sales and service representatives and other customer and personal services occupations,4,"Job titles ""tourism information officer"" and ""tourism information technician"" moved to major group 64."
12,Start deletion. Administrative and financial supervisors and administrative occupations End deletion.,B,10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,"Job title ""Court registrar"" moved to major group 10."
,Start deletion. End deletion.,,12,Administrative and financial supervisors and specialized administrative occupations,2,"Unit groups 1211, 1212, 1213, 1214, 1222, 1223, 1225, 1226, 1228, 1251, 1252, 1253, and 1254 were relocated to major group 12. Label was modified."
,Start deletion. End deletion.,,13,Administrative occupations and transportation logistics occupations,3,"Unit groups 1221, 1224, 1241, 1242 and 1243 as well as job titles related to non-supervisor logistics, freight, transportation positions were relocated under major group 13."
,Start deletion. End deletion.,,14,Administrative and financial support and supply chain logistics occupations,4,Job titles related to court officers and court administrators moved to major group 14.
,Start deletion. End deletion.,,42,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",2,Job titles related to justices of the peace moved to major group 42.
,Start deletion. End deletion.,,43,Assisting occupations in education and in legal and public protection,3,Job titles related to immigration and border service moved to major group 43.
,Start deletion. End deletion.,,72,Technical trades and transportation officers and controllers,2,Unit group 1214 was relocated to major group 72.
,Start deletion. End deletion.,,74,"Mail and message distribution, other transport equipment operators and related maintenance workers",4,"Job title ""Ramp services supervisor - airport"" moved to major group 74."
13,"Start deletion. Finance, insurance and related business administrative occupations End deletion.",B,12,Administrative and financial supervisors and specialized administrative occupations,2,"Unit groups 1311, 1312,1313 and 1314 were relocated under major group 12."
,Start deletion. End deletion.,,13,Administrative occupations and transportation logistics occupations,3,Unit group 1315 was relocated under major group 13. Label was modified.
14,Start deletion. Office support occupations End deletion.,C,13,Administrative occupations and transportation logistics occupations,3,Unit group 1432 was relocated under major group 13.
,Start deletion. End deletion.,,14,Administrative and financial support and supply chain logistics occupations,4,"All unit groups, except 1432, were relocated to major group 14. Label was modified."
15,"Start deletion. Distribution, tracking and scheduling co-ordination occupations End deletion.",C,13,Administrative occupations and transportation logistics occupations,3,Job titles related to production logistic coordination moved to major group 13.
,Start deletion. End deletion.,,14,Administrative and financial support and supply chain logistics occupations,4,"Unit groups 1521, 1522, 1523, 1524, 1525 and 1526 were relocated to major group 14."
,Start deletion. End deletion.,,64,Sales and service representatives and other customer and personal services occupations,4,Job titles related to postal clerks and workers moved to major group 64.
,Start deletion. End deletion.,,74,"Mail and message distribution, other transport equipment operators and related maintenance workers",4,Unit group 1512 and job titles related to mail and parcel sorter moved to major group 74.
,Start deletion. End deletion.,,75,"Helpers and labourers and other transport drivers, operators and labourers",5,Job titles related to door-to-door distributors moved to major group 75.
21,Professional occupations in natural and applied sciences,A,21,Professional occupations in natural and applied sciences,1,All unit groups were relocated to major group 21.
22,Technical occupations related to natural and applied sciences,B,22,Technical occupations related to natural and applied sciences,2,"All unit groups, except those under minor group 227, were relocated to major group 22."
,,,72,Technical trades and transportation officers and controllers,2,"Unit groups 2271, 2272, 2273, 2274 and 2275 were relocated under major group 72."
30,Start deletion. Professional occupations in nursing End deletion.,A,31,Professional occupations in health,1,Unit groups 3011 and 3012 were relocated under major group 31.
31,Start deletion. Professional occupations in health (except nursing) End deletion.,A,31,Professional occupations in health,1,All unit groups were relocated to major group 31. Label was modified.
,Start deletion. End deletion.,,32,Technical occupations in health,2,"Job titles ""anesthesia assistant"" and ""Physical rehabilitation therapist"" moved to major group 32."
,Start deletion. End deletion.,,41,"Professional occupations in law, education, social, community and government services",1,Job titles related to art therapy moved to major group 41.
32,Technical occupations in health,B,31,Professional occupations in health,1,Job titles related to pathologist assistant moved to major group 31.
,,,32,Technical occupations in health,2,"All unit groups, except unit group 3212, were relocated to major group 32."
,,,33,Assisting occupations in support of health services,3,"Job titles related to medical laboratory assistants and related technical occupations, pharmacy technical assistant, dental assistant and dental laboratory assistant, ophthalmic assistant and audiometric technician were moved to major group 33."
34,Assisting occupations in support of health services,C,32,Technical occupations in health,2,Job titles related to rehabilitation and therapy assistants moved to major group 32.
,,,33,Assisting occupations in support of health services,3,All unit groups were relocated to major group 33.
40,Start deletion. Professional occupations in education services End deletion.,A,41,"Professional occupations in law, education, social, community and government services",1,All unit groups were relocated to major group 41.
41,"Start deletion. Professional occupations in law and social, community and government services End deletion.",A,11,Professional occupations in finance and business,1,"Job title ""Marketing consultant"" moved to major group 11."
,Start deletion. End deletion.,,21,Professional occupations in natural and applied sciences,1,Job titles related to clinical research moved to major group 21.
,Start deletion. End deletion.,,31,Professional occupations in health,1,"Job titles related to psychologists and ""Genetic counsellor"" moved to major group 31."
,Start deletion. End deletion.,,41,"Professional occupations in law, education, social, community and government services",1,All unit groups were relocated to major group 41. Label was modified.
,Start deletion. End deletion.,,42,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",2,Job titles related to correctional case worker and manager moved to major group 42.
42,"Start deletion. Paraprofessional occupations in legal, social, community and education services End deletion.",B,42,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",2,All unit groups were relocated to major group 42. Label was modified.
43,Start deletion. Occupations in front-line public protection services End deletion.,B,41,"Professional occupations in law, education, social, community and government services",1,Job titles related to police investigator moved to major group 41.
,Start deletion. End deletion.,,42,"Front-line public protection services and paraprofessional occupations in legal, social, community, education services",2,All unit groups were relocated to major group 42.
,Start deletion. End deletion.,,43,Assisting occupations in education and in legal and public protection,3,Job titles for military occupations requiring a college certificate or apprenticeship of less than 2 years moved to major group 43. Label was modified.
,Start deletion. End deletion.,,44,Care providers and public protection support occupations,4,Job titles for military occupations NOT requiring college education or apprenticeship moved to major group 44.
44,"Start deletion. Care providers and educational, legal and public protection support occupations End deletion.",C,43,Assisting occupations in education and in legal and public protection,3,"Unit groups 4421, 4422 and 4423 as well as job titles related to elementary and secondary school teacher assistants moved to major group 43."
,Start deletion. End deletion.,,44,Care providers and public protection support occupations,4,"Unit group 4411 as well as job titles related to home support workers, caregivers and related occupations moved to major group 44. Label was modified."
,Start deletion. End deletion.,,45,"Student monitors, crossing guards and related occupations",5,Job titles related to student monitors moved to major group 45.
,Start deletion. End deletion.,,65,Sales and service support occupations,5,"Job titles ""Housekeepers"" and ""Domestic housekeepers"" moved to NOC 65."
51,Professional occupations in art and culture,A,51,Professional occupations in art and culture,1,"Unit groups 5111, 5112, 5113, 5121, 5122, 5123, 5125, 5131, 5132 and 5133 were relocated to major group 51."
,,,53,"Occupations in art, culture and sport",3,"Unit groups 5134, 5135 and 5136 were relocated to major group 53."
52,"Technical occupations in art, culture, recreation and sport",B,52,"Technical occupations in art, culture and sport",2,"Unit groups 5211, 5222, 5223, 5224, 5225, 5226, 5231, 5241 and 5242 were relocated to major group 52."
,,,53,"Occupations in art, culture and sport",3,"Unit groups 5212, 5221, 5227, 5244, 5245, 5251, 5252 and 5253 as well as job titles related to circus performance and to theatre, fashion, exhibit and other creative designers were relocated to major group 53."
,,,54,Support occupations in sport,4,Unit group 5254 was relocated to major group 54.
,,,55,Support occupations in art and culture,5,Job titles related to other performers moved to major group 55.
,,,62,Retail sales and service supervisors and specialized occupations in sales and services,2,"Job titles ""display designer supervisor"" and ""display design supervisor"" moved to major group 62."
,,,64,Sales and service representatives and other customer and personal services occupations,4,"Job titles related to display design, styling, and visual merchandising moved to major group 64."
62,Start deletion. Retail sales supervisors and specialized sales occupations End deletion.,B,62,Retail sales and service supervisors and specialized occupations in sales and services,2,Unit groups 6211 and 6222 as well as job titles related to technical sales specialists in wholesale trade were relocated to major group 62. Label was modified.
,Start deletion. End deletion.,,63,Occupations in sales and services,3,"Unit groups 6231, 6232 and 6235 were relocated to major group 63."
,Start deletion. End deletion.,,70,Middle management occupations in trades and transportation,0,"Job titles ""Grain elevator district manager"", ""grain elevator manager"", and ""assistant grain elevator manager"" moved to major group 70."
,Start deletion. End deletion.,,75,"Helpers and labourers and other transport drivers, operators and labourers",5,"Job title ""grain elevator operator"" moved to major group 75."
63,Start deletion. Service supervisors and specialized service occupations End deletion.,B,62,Retail sales and service supervisors and specialized occupations in sales and services,2,"Unit groups 6311, 6312, 6313, 6314, 6315, 6321, 6344 and 6346 as well as job titles related to other services supervisors were relocated to major group 62."
,Start deletion. End deletion.,,63,Occupations in sales and services,3,"Unit groups 6322, 6332, 6341, 6343 and 6345 as well as job titles related to butchers were relocated to major group 63. Label was modified."
,Start deletion. End deletion.,,64,Sales and service representatives and other customer and personal services occupations,4,Unit group 6342 was relocated to major group 64.
,Start deletion. End deletion.,,65,Sales and service support occupations,5,"Job titles ""Park supervisor"", ""Rink supervisor"", and ""Campground supervisor"" and job titles related to meat cutters and fishmongers moved to major group 65."
64,Start deletion. Sales representatives and salespersons - wholesale and retail trade End deletion.,C,62,Retail sales and service supervisors and specialized occupations in sales and services,2,"Job titles ""grain merchandiser"" and ""livestock sales representative – wholesale"" moved to major group 62."
,Start deletion. End deletion.,,64,Sales and service representatives and other customer and personal services occupations,4,Unit group 6421 as well as job titles related to sales and account representatives of wholesale trade (non-technical) were relocated to major group 64. Label was modified.
65,Start deletion. Service representatives and other customer and personal services occupations End deletion.,C,45,"Student monitors, crossing guards and related occupations",5,"Job titles ""School crossing guard"", and ""crossing guard"" moved to major group 45."
,Start deletion. End deletion.,,63,Occupations in sales and services,3,Unit group 6562 was relocated to major group 63.
,Start deletion. End deletion.,,64,Sales and service representatives and other customer and personal services occupations,4,"Unit groups 6511, 6512, 6521, 6522, 6523, 6524, 6525, 6531, 6532,6533, 6551, 6552 and 6561 as well as job titles related to security service occupations were relocated to major group 64."
,Start deletion. End deletion.,,65,Sales and service support occupations,5,"Unit groups 6513, 6563 and 6564 as well as job title ""mystery shopper"" were relocated to major group 65. Label was modified."
66,Start deletion. Sales support occupations End deletion.,D,65,Sales and service support occupations,5,All unit groups were relocated to major group 65.
67,"Start deletion. Service support and other service occupations, n.e.c. End deletion.",D,65,Sales and service support occupations,5,All unit groups were relocated to major group 65.
,Start deletion. End deletion.,,73,General trades,3,Job titles related to building superintendent and maintenance work were relocated to major group 73.
72,"Start deletion. Industrial, electrical and construction trades End deletion.",B,72,Technical trades and transportation officers and controllers,2,"Unit groups 7201, 7202, 7203, 7204, 7205, 7231, 7232, 7233, 7234, 7235, 7236, 7237, 7241, 7242, 7243, 7244, 7245, 7246, 7247, 7251, 7252, 7253, 7271, 7272 and 7281 were relocated to major group 72. Label was modified."
,Start deletion. End deletion.,,73,General trades,3,"Unit groups 7282, 7283, 7284, 7291, 7292, 7293, 7294 and 7295 were relocated to major group 73."
73,Start deletion. Maintenance and equipment operation trades End deletion.,B,72,Technical trades and transportation officers and controllers,2,"Unit groups 7301, 7302, 7303, 7304, 7305, 7311, 7312, 7314, 7315, 7316, 7318, 7321, 7322, 7331, 7332,  7333, 7334, 7335, 7373 and 7384 as well as job titles related to crane operators were relocated to major group 72."
,Start deletion. End deletion.,,73,General trades,3,"Unit groups 7361, 7362, 7372 and 7381 were relocated to major group 73. Label was modified."
,Start deletion. End deletion.,,75,"Helpers and labourers and other transport drivers, operators and labourers",5,Job titles related to rigging moved to major group 75.
74,"Start deletion. Other installers, repairers and servicers and material handlers End deletion.",C,22,Technical occupations related to natural and applied sciences,2,"Job title ""Security systems technician"" moved to major group 22."
,Start deletion. End deletion.,,73,General trades,3,Unit groups 7441 and 7444 as well as job titles related to other repairers and servicers were relocated to major group 73.
,Start deletion. End deletion.,,74,"Mail and message distribution, other transport equipment operators and related maintenance workers",4,Unit group 7442 was relocated to major group 74. Label was modified.
,Start deletion. End deletion.,,75,"Helpers and labourers and other transport drivers, operators and labourers",5,Unit groups 7451 and 7452 were relocated to major group 75.
75,Start deletion. Transport and heavy equipment operation and related maintenance occupations End deletion.,C,73,General trades,3,"Unit groups 7511, 7512 and 7521 were relocated to major group 73."
,Start deletion. End deletion.,,74,"Mail and message distribution, other transport equipment operators and related maintenance workers",4,"Unit groups 7522, 7531, 7532, 7534 and 7535 as well as job titles related to courier service drivers were relocated to major group 74."
,Start deletion. End deletion.,,75,"Helpers and labourers and other transport drivers, operators and labourers",5,Unit groups 7513 and 7533 as well as job titles related to delivery service drivers and door-to-door distributors were relocated to major group 75. Label was modified.
76,"Start deletion. Trades helpers, construction labourers and related occupations End deletion.",D,75,"Helpers and labourers and other transport drivers, operators and labourers",5,All unit groups were relocated to major group 75.
82,"Start deletion. Supervisors and technical occupations in natural resources, agriculture and related production End deletion.",B,72,Technical trades and transportation officers and controllers,2,"Job title ""Aerial crop dusting service contractor"" moved to major group 72."
,Start deletion. End deletion.,,82,"Supervisors in natural resources, agriculture and related production",2,"Unit groups 8211, 8221, 8222 and 8255 as well as job titles related to agricultural service contractors and farm supervisors were relocated to major group 82. Label was modified."
,Start deletion. End deletion.,,83,Occupations in natural resources and related production,3,"Unit groups 8231, 8232, 8241, 8261 and 8262 were relocated to major group 83."
,Start deletion. End deletion.,,84,"Workers in natural resources, agriculture and related production",4,Job titles related to specialized livestock work moved to major group 84.
,Start deletion. End deletion.,,85,Workers in natural resources and fisheries,5,"Job title ""Feedlot herd attendant"" moved to major group 85."
84,"Workers in natural resources, agriculture and related production",C,84,"Workers in natural resources, agriculture and related production",4,"Unit groups 8411, 8412, 8421, 8422 and 8441 as well as job titles related to farm machinery operation were relocated to major group 84. Label was modified in French only."
,,,85,Workers in natural resources and fisheries,5,Unit groups 8432 and 8442 as well as job titles related to livestock and harvesting labourer were relocated to major group 85.
86,"Start deletion. Harvesting, landscaping and natural resources labourers End deletion.",D,85,Workers in natural resources and fisheries,5,All unit groups were relocated to major group 85.
92,"Start deletion. Processing, manufacturing and utilities supervisors and central control operators End deletion.",B,92,"Processing, manufacturing and utilities supervisors and utilities operators and controllers",2,"Unit groups 9211, 9212, 9213, 9214, 9215, 9217, 9221, 9222, 9223, 9224, 9226, 9227, 9241 and 9243 were relocated to major group 92. Label was modified."
,Start deletion. End deletion.,,93,Central control and process operators and aircraft assembly assemblers and inspectors,3,"Unit groups 9231, 9232 and 9235 were relocated to major group 93."
94,Start deletion. Processing and manufacturing machine operators and related production workers End deletion.,C,94,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,"All unit groups, except unit group 9445, were relocated to major group 94. Label was modified."
,Start deletion. End deletion.,,95,"Labourers in processing, manufacturing and utilities",5,"Unit group 9445 as well as job titles ""Ring furnace operator helper"" and ""Cloth-printing machine helper"" were relocated to major group 95."
95,Start deletion. Assemblers in manufacturing End deletion.,C,93,Central control and process operators and aircraft assembly assemblers and inspectors,3,Unit group 9521 was relocated to major group 93.
,Start deletion. End deletion.,,94,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,"All unit groups, except unit group 9521, were relocated to major group 94."
96,"Start deletion. Labourers in processing, manufacturing and utilities End deletion.",D,94,"Machine operators, assemblers and inspectors in processing, manufacturing and printing",4,"Job title ""fish flaker - fish processing"" moved to major group 94."
,Start deletion. End deletion.,,95,"Labourers in processing, manufacturing and utilities",5,All unit groups were relocated to major group 95.
