NOC 2016 Code (2-digit),NOC 2016 Label,NOC 2016 Skill level,NOC 2021 Code (2-digit),NOC 2021 Label,NOC 2021 TEER,Description
0,Start deletion. Senior management occupations End deletion.,Management / A,0,Legislative and senior managers,0,All middle management unit groups were relocated in their respective Broad Occupational Category.
1,Start deletion. Specialized middle management occupations End deletion.,Management / A,10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,"All unit groups, except unit group 0132, were relocated under major group 10."
,Start deletion. End deletion.,,11,Professional occupations in finance and business,1,"Job title ""Staff training coordinator"" moved to major group 11."
,Start deletion. End deletion.,,13,Administrative and financial supervisors and specialized administrative occupations,3,"Job title ""Human resources administrator"" moved to major group 13."
,Start deletion. End deletion.,,21,Professional occupations in natural and applied sciences,1,Job titles related to public and environmental health and safety coordinators moved to major group 21.
,Start deletion. End deletion.,,22,Technical occupations related to natural and applied sciences,2,Job titles related to occupational health and safety specialists moved to major group 22.
,Start deletion. End deletion.,,70,Middle management occupations in trades and transportation,0,Unit group 0132 was relocated to major group 70.
2,Start deletion. Specialized middle management occupations End deletion.,Management / A,20,"Specialized middle management occupations in engineering, architecture, science and information systems",0,All unit groups  were relocated to major group 20.
3,Start deletion. Specialized middle management occupations End deletion.,Management / A,30,Specialized middle management occupations in health care,0,The unit group was relocated to major group 30.
4,Start deletion. Specialized middle management occupations End deletion.,Management / A,40,"Managers in public administration, in education and social and community services and in public protection services",0,All unit groups were relocated to major group 40.
,Start deletion. End deletion.,,41,"Professional occupations in law, education, social, community and government services",1,Job titles related to police investigator moved to major group 41.
5,Start deletion. Specialized middle management occupations End deletion.,Management / A,50,"Specialized middle management occupations in art, culture, recreation and sport",0,All unit groups were relocated to major group 50.
6,Start deletion. Middle management occupations in retail and wholesale trade and customer services End deletion.,Management / A,60,Middle management occupations in retail and wholesale trade and customer services,0,All unit groups were relocated to major group 60.
7,"Start deletion. Middle management occupations in trades, transportation, production and utilities End deletion.",Management / A,70,Middle management occupations in trades and transportation,0,All unit groups were relocated to major group 70.
8,"Start deletion. Middle management occupations in trades, transportation, production and utilities End deletion.",Management / A,80,Middle management occupations in production and agriculture,0,All unit groups were relocated to major group 80.
9,"Start deletion. Middle management occupations in trades, transportation, production and utilities End deletion.",Management / A,90,Middle management occupations in manufacturing and utilities,0,All unit groups were relocated to major group 90.
11,Start deletion. Professional occupations in business and finance End deletion.,A,10,"Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)",0,"Job title ""social media community manager"" updated to ""social media manager"" moved to major group 10."
